accession	lat	lon	species	comments
LA2386	-17.766667	-69.933333	lycopersicoides	NA
LA2172	-6.000556	-78.908056	arcanum	NA
LA1840	-13.883333	-73.016667	chmielewskii	NA
LA2695	-13.957222	-71.761667	chmielewskii	NA
LA2133	-3.4	-79.183333	neorickii	NA
LA0735	-10.375	-76.208333	neorickii	LYC140
LA1401	-0.237222	-91.390556	cheesmaniae	cheesmanie
LA4024	NA	NA	lycopersicum	cultivated
Moneymaker	NA	NA	lycopersicum	cultivated
LA1578	-7.333333	-79.583333	pimpinellifolium	NA
LA1777	-9.55	-77.666667	habrochaites	NA
LA1718	-5.233333	-79.45	habrochaites	NA
LYC4	NA	NA	habrochaites	NA
PI134418	-2.183333	-79.883333	habrochaites	approximate location
PI127826	-7.156944	-78.5175	habrochaites	NA
LA0407	-2.180556	-79.883611	habrochaites	NA
LA1364	-10.133333	-77.391667	huaylasense	NA
LA1278	11.641667	-76.958333	peruvianum	NA
LA1954	-17.016667	-72.083333	peruvianum	NA
LA0716	-16.225	-73.616667	pennellii	NA
