accession	plant	cage	alive	dead	total	percentage
Moneymaker	1	A	11	4	15	73
Moneymaker	1	B	14	2	16	88
Moneymaker	2	A	14	1	15	93
Moneymaker	2	B	13	1	14	93
Moneymaker	3	A	12	1	13	92
Moneymaker	3	B	18	4	22	82
Moneymaker	4	A	11	3	14	79
Moneymaker	4	B	11	4	15	73
Moneymaker	5	A	9	6	15	60
Moneymaker	5	B	21	1	22	95
Moneymaker	6	A	7	2	9	78
Moneymaker	6	B	12	1	13	92
Moneymaker	7	A	13	2	15	87
Moneymaker	7	B	12	2	14	86
Moneymaker	8	A	15	1	16	94
Moneymaker	8	B	3	10	13	23
LA0407	1	A	9	2	11	82
LA0407	1	B	9	2	11	82
LA0407	2	A	7	3	10	70
LA0407	2	B	16	4	20	80
LA0407	3	A	4	4	8	50
LA0407	3	B	7	2	9	78
LA0716	1	A	0	11	11	0
LA0716	1	B	0	12	12	0
LA0716	2	A	0	17	17	0
LA0716	2	B	0	14	14	0
LA0716	3	A	0	15	15	0
LA0716	3	B	0	14	14	0
LA1278	1	A	21	4	25	84
LA1278	1	B	12	3	15	80
LA1278	2	A	13	1	14	93
LA1278	2	B	6	4	10	60
LA1278	3	A	0	0	0	NA
LA1278	3	B	9	1	10	90
LA1364	1	A	3	1	4	75
LA1364	1	B	9	3	12	75
LA1364	2	A	10	2	12	83
LA1364	2	B	13	3	16	81
LA1364	3	A	7	2	9	78
LA1364	3	B	8	3	11	73
LA1401	1	A	11	3	14	79
LA1401	1	B	8	2	10	80
LA1401	2	A	13	4	17	76
LA1401	2	B	10	5	15	67
LA1401	3	A	7	5	12	58
LA1401	3	B	4	1	5	80
LA1578	1	A	8	1	9	89
LA1578	1	B	11	3	14	79
LA1578	2	A	11	7	18	61
LA1578	2	B	8	4	12	67
LA1578	3	A	12	3	15	80
LA1578	3	B	8	2	10	80
LA1718	1	A	8	5	13	62
LA1718	1	B	4	7	11	36
LA1718	2	A	7	3	10	70
LA1718	2	B	1	7	8	13
LA1718	3	A	17	5	22	77
LA1718	3	B	7	5	12	58
LA1777	1	A	0	10	10	0
LA1777	1	B	0	9	9	0
LA1777	2	A	4	11	15	27
LA1777	2	B	3	5	8	38
LA1777	3	A	3	2	5	60
LA1777	3	B	3	12	15	20
LA1840	1	A	13	0	13	100
LA1840	1	B	15	4	19	79
LA1840	2	A	17	5	22	77
LA1840	2	B	11	6	17	65
LA1840	3	A	13	1	14	93
LA1840	3	B	11	4	15	73
LA1954	1	A	0	3	3	0
LA1954	1	B	5	3	8	63
LA1954	2	A	10	2	12	83
LA1954	2	B	7	4	11	64
LA1954	3	A	6	7	13	46
LA1954	3	B	9	4	13	69
LA2133	1	A	5	2	7	71
LA2133	1	B	12	2	14	86
LA2133	2	A	11	2	13	85
LA2133	2	B	16	1	17	94
LA2133	3	A	5	4	9	56
LA2133	3	B	9	3	12	75
LA2172	1	A	6	4	10	60
LA2172	1	B	1	1	2	50
LA2172	2	A	4	2	6	67
LA2172	2	B	20	3	23	87
LA2172	3	A	7	1	8	88
LA2172	3	B	9	2	11	82
LA2695	1	A	5	4	9	56
LA2695	1	B	8	3	11	73
LA2695	2	A	6	7	13	46
LA2695	2	B	13	5	18	72
LA2695	3	A	0	0	0	NA
LA2695	3	B	9	5	14	64
LA4024	1	A	13	3	16	81
LA4024	1	B	5	2	7	71
LA4024	2	A	6	4	10	60
LA4024	2	B	9	5	14	64
LA4024	3	A	10	4	14	71
LA4024	3	B	19	3	22	86
LYC140	1	A	13	1	14	93
LYC140	1	B	5	3	8	63
LYC140	2	A	12	4	16	75
LYC140	2	B	8	1	9	89
LYC140	3	A	6	1	7	86
LYC140	3	B	9	1	10	90
PI134418	1	A	13	3	16	81
PI134418	1	B	7	2	9	78
PI134418	2	A	1	6	7	14
PI134418	2	B	16	12	28	57
PI134418	3	A	0	5	5	0
PI134418	3	B	1	1	2	50
LYC4	1	A	4	14	18	22
LYC4	1	B	2	8	10	20
LYC4	2	A	11	2	13	85
LYC4	2	B	6	9	15	40
LYC4	3	A	0	8	8	0
LYC4	3	B	2	11	13	15
PI127826	1	A	1	12	13	8
PI127826	1	B	2	13	15	13
PI127826	2	A	2	6	8	25
PI127826	2	B	1	12	13	8
PI127826	3	A	2	11	13	15
PI127826	3	B	2	14	16	13
PI127826	4	A	4	5	9	44
PI127826	4	B	0	8	8	0
PI127826	5	A	0	15	15	0
PI127826	5	B	4	11	15	27
