sample	species	wf	thrips	color
S arc LA2172	arcanum	10	6	#F8766D
S ches LA1401	cheesmaniae	12	5	#D89000
S chm LA1840	chmielewskii	13	17	#A3A500
S chm LA2695	chmielewskii	8	6	#A3A500
S hab LA0407	habrochaites	14	2	#39B600
S hab LA1718	habrochaites	6	11	#39B600
S hab LA1777	habrochaites	4	2	#39B600
S hab PI134418	habrochaites	5	2	#39B600
S hab LYC4	habrochaites	3	1	#39B600
S hab PI127826	habrochaites	2	11	#39B600
S hua LA1364	huaylasense 	11	19	#00BF7D
S lyc MM	lycopersicum	18	15	#00BFC4
S lyc LA4024	lycopersicum	9	17	#00BFC4
S neo LA2133	neorickii	16	11	#00B0F6
S neo LA0735	neorickii	19	10	#00B0F6
S pen LA0716	pennellii	1	6	#9590FF
S per LA1278	peruvianum	17	6	#e76bf3
S per LA1954	peruvianum	7	15	#e76bf3
S pim LA1578	pimpinellifolium 	15	14	#FF62BC
