metabolite	Sugar backbone
G2:C4 	Glucose
G2:C5 	Glucose
G3:C6 	Glucose
G3:C7 	Glucose
G3:C10 	Glucose
G3:C10-2 	Glucose
G3:C11 	Glucose
G3:C11-2 	Glucose
G3:C13 	Glucose
G3:C14 	Glucose
G3:C15 	Glucose
G3:C15-2 	Glucose
G3:C16 	Glucose
G3:C16-2 	Glucose
G3:C18 	Glucose
G3:C19 	Glucose
G3:C19-2 	Glucose
G3:C20 	Glucose
G3:C20-2 	Glucose
G3:C21-2 	Glucose
G3:C21 	Glucose
G3:C22 	Glucose
G3:C22-3 	Glucose
G3:C22-2 	Glucose
G4:21 	Glucose
G4:C21 	Glucose
G4:C21-2 	Glucose
G4:22 	Glucose
G4:C22 	Glucose
G4:C23 	Glucose
G4:C23-2 	Glucose
G4:C24 	Glucose
G4:C24-2 	Glucose
G4:C32 	Glucose
G5:C25 	Glucose
S1:C27 	Sucrose
S2:C22 	Sucrose
S3:C12 	Sucrose
S3:C15 	Sucrose
S3:C17-2 	Sucrose
S3:C18 	Sucrose
S3:C18-2 	Sucrose
S3:C19 	Sucrose
S3:C19-2 	Sucrose
S3:C20 	Sucrose
S3:C20-2 	Sucrose
S3:C20-3 	Sucrose
S3:C21 	Sucrose
S3:C21-3 	Sucrose
S3:C21-2 	Sucrose
S3:C22 	Sucrose
S3:C22-2 	Sucrose
S3:C22-3 	Sucrose
S3:C23 	Sucrose
S3:C24 	Sucrose
S4:C16 	Sucrose
S4:C17 	Sucrose
S4:C17-2 	Sucrose
S4:C19 	Sucrose
S4:C19-2 	Sucrose
S4:C20 	Sucrose
S4:C20-2 	Sucrose
S4:C20-3 	Sucrose
S4:C21 	Sucrose
S4:C21-2 	Sucrose
S4:C21-3 	Sucrose
S4:C21-4 	Sucrose
S4:C22 	Sucrose
S4:C22-2 	Sucrose
S4:C22-3 	Sucrose
S4:C23-2 	Sucrose
S4:C24 	Sucrose
S5:C23 	Sucrose
S5:C23-2 	Sucrose
S5:C24 	Sucrose
S5:C25 	Sucrose
