sample	wf	thrips	43.9895_4.12	91.0546_4.77	73.0283_5.35	55.0544_5.65	60.0206_7.33	74.0362_7.62	91.0546_9.74	93.07_10.21	119.086_10.94	93.07_11.12	119.086_11.91	119.086_12.03	91.0546_12.21	119.086_12.43	93.07_12.82	91.0546_13.46	119.086_13.78	91.0546_14.71	58.0421_20.69	73.0283_21.67	91.0546_21.9	91.0546_24.04	95.0855_24.53	91.0546_24.66	105.0699_24.78	119.086_24.87	119.086_25.23	58.0421_25.48	145.1012_25.57	97.1007_25.82	91.0546_26.09	161.1325_26.28	161.1325_26.39	105.0699_26.65	97.1007_27.13	91.0546_28.05	57.07_28.28	58.0421_28.54	91.0546_28.83	58.0421_29.49	71_0498.31.38	57.07_32.29	73.0283_34.39
MM	non-toxic	non-toxic	6594265.437	87171972.17	0	0	0	0	3445793.423	0	2946844.809	0	55546457.84	51954582.02	0	80643620.24	129699743.1	32918.46382	320941.6136	197690.2128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA1278	non-toxic	toxic	4030817.35	130207806	0	0	0	0	3918692.935	0	2706044.415	0	53539841.16	49279038.8	309799.8362	59818174.55	150299345.3	0	253815.1306	140350.4352	0	0	0	0	0	0	87081.24573	0	0	0	210750.3615	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA1364	non-toxic	non-toxic	845735.7025	14121096.25	0	0	0	0	297860.0695	0	0	0	0	0	0	0	0	0	0	0	35051.4459	0	0	36826.51047	0	0	0	0	0	438171.9695	52271.50677	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA1401	non-toxic	toxic	2152688.688	70171861.41	0	0	0	0	54205473.55	1567669.003	0	54675881.65	0	0	0	698367.489	6804852.477	1863391.9	805570.5563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA1578	non-toxic	toxic	9496515.55	147272722.5	0	0	0	0	1618499.841	0	624853.0517	0	18703976.09	9624662.49	212735.7557	12529514.89	106974669.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA1718	toxic	non-toxic	3712825.007	119888240.9	0	0	0	0	3798405.134	0	0	0	124553339.3	85976904.8	247583.761	144871177.5	198432511.9	0	255204.0216	0	0	337075.4257	0	0	0	0	0	0	0	0	234094.7993	0	0	3256022.76	5311376.496	2843260.543	0	0	0	0	0	0	0	0	0
LA1777	toxic	toxic	3586028.834	104326185.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4477555.188	0	0	0	0	0	0	159017.0392	0	0	7923770.559	16368226.37	4270075.636	0	0	0	0	0	0	0	0	0
LA1840	non-toxic	non-toxic	5392078.229	153381326.8	0	134902.8217	0	0	0	107780.598	0	0	1447316.812	31218471.79	411066.5663	21427860.21	19514590.7	849991.386	6011721.271	93459.47433	0	0	0	0	0	0	32473.12307	63794.99852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA1954	toxic	non-toxic	1085969.245	10957582.58	0	0	0	0	0	0	0	0	0	152771.2874	0	0	176994.0929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA2133	non-toxic	non-toxic	3246619.413	154977584.5	0	0	0	0	1685604.854	0	0	0	19324598.47	13016282.37	299306.7898	16586849.62	63712655.6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA2172	non-toxic	toxic	1896328.088	75722300.42	0	0	0	0	32120117.26	2776866.543	0	24903474.67	582016.8222	6943751.972	236426.4919	6716198.865	54126171.79	4153920.1	8413256.356	902166.725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA2695	toxic	toxic	4595736.752	85050894.6	0	0	0	0	0	1291982.585	0	0	530545.5554	6403923.607	5241709.722	6839760.557	4083798.276	0	3995009.224	115554.4681	0	0	0	0	0	0	766694.759	1837513.44	98873.84987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA4024	non-toxic	non-toxic	3094366.933	110499628.6	0	149159.1722	0	0	4782634.757	0	12547154.36	0	90926865.09	84518936.71	149802.9321	144935599.8	226043889.6	0	355365.4602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA0407	non-toxic	toxic	7146721.809	194836942.7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18987790.55	0	0	0	0	0	0	0	0	85407073.86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LA0716	toxic	toxic	1774679.393	99473702.91	6048548.161	300886.4841	0	2998921.552	0	0	0	0	0	4300528.227	0	1720267.104	784188.0123	0	3742523.119	51380.12573	5838342.43	309412.3833	132784.1162	69296.15217	130226.2795	0	0	42634.33477	0	44840479.92	47716.49937	2074355.25	0	36658.60273	50810.4765	0	1037989.382	0	48889.3066	82085.33563	0	102056.5671	67966.97067	139061.4272	22730.12084
LA0735	non-toxic	non-toxic	362220.8503	100630818.6	0	0	0	0	109227854.8	12150854.32	0	126057828.5	0	1738652.713	110730.5292	6156554.828	27293875.54	5809675.193	4273099.644	1032844.079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PI134418	toxic	toxic	3052916.54	110878430.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35539293.19	0	0	616508.6155	0	0	0	0	0	121613502.3	0	0	0	0	0	0	0	0	0	42152.31567	0	571877.1919	0	0	0
