genotype	plant	side	leaf.disk	name	date	glandular	non.glandular	typeVI	typeIandIV	typeVII	all	area.mm2
S.lyc MM	5	adaxial	1	Aleksandra	31-Jan	28	332	28	0	0	360	12.56637061
S.lyc MM	5	adaxial	2	Aleksandra	31-Jan	35	284	35	0	0	319	12.56637061
S.lyc MM	5	abaxial	1	Aleksandra	31-Jan	8	364	8	0	0	372	12.56637061
S.lyc MM	5	abaxial	2	Aleksandra	31-Jan	15	344	15	0	0	359	12.56637061
S.lyc MM	3	adaxial	1	Ruy	01-Feb	11	262	11	0	0	273	12.56637061
S.lyc MM	3	adaxial	2	Ruy	01-Feb	51	240	51	0	0	291	12.56637061
S.lyc MM	3	abaxial	1	Ruy	01-Feb	63	532	63	0	0	595	12.56637061
S.lyc MM	3	abaxial	2	Ruy	01-Feb	57	496	57	0	0	553	12.56637061
S.lyc MM	4	adaxial	1	Aleksandra	01-Feb	17	127	17	0	0	144	12.56637061
S.lyc MM	4	adaxial	2	Aleksandra	01-Feb	24	162	24	0	0	186	12.56637061
S.lyc MM	4	abaxial	1	Aleksandra	01-Feb	32	207	32	0	0	239	12.56637061
S.lyc MM	4	abaxial	2	Aleksandra	01-Feb	48	162	48	0	0	210	12.56637061
S.lyc MM	1	adaxial	1	Sanne	02-Feb	39	223	39	0	0	262	12.56637061
S.lyc MM	1	adaxial	2	Sanne	02-Feb	34	171	34	0	0	205	12.56637061
S.lyc MM	1	abaxial	1	Sanne	02-Feb	53	182	53	0	0	235	12.56637061
S.lyc MM	1	abaxial	2	Sanne	02-Feb	51	173	51	0	0	224	12.56637061
S.lyc MM	2	adaxial	1	Petra	02-Feb	39	192	39	0	0	231	12.56637061
S.lyc MM	2	adaxial	2	Petra	02-Feb	13	251	7	0	6	264	12.56637061
S.lyc MM	2	abaxial	1	Petra	02-Feb	47	489	47	0	0	536	12.56637061
S.lyc MM	2	abaxial	2	Petra	02-Feb	111	471	111	0	0	582	12.56637061
S.hua LA1364	2	adaxial	1	Marc	30-Jan	8	37	8	0	0	45	12.56637061
S.hua LA1364	2	adaxial	2	Marc	30-Jan	10	38	4	0	0	48	12.56637061
S.hua LA1364	2	abaxial	1	Marc	30-Jan	1	68	1	0	0	69	12.56637061
S.hua LA1364	2	abaxial	2	Marc	30-Jan	1	64	1	0	0	65	12.56637061
S.hua LA1364	4	adaxial	1	Aleksandra	30-Jan	4	41	3	0	0	45	12.56637061
S.hua LA1364	4	adaxial	2	Aleksandra	30-Jan	3	51	3	0	0	54	12.56637061
S.hua LA1364	4	abaxial	1	Aleksandra	30-Jan	3	113	3	0	0	116	12.56637061
S.hua LA1364	4	abaxial	2	Aleksandra	30-Jan	4	91	4	0	0	95	12.56637061
S.hua LA1364	5	adaxial	1	Aleksandra	31-Jan	11	77	10	1	0	88	12.56637061
S.hua LA1364	5	adaxial	2	Aleksandra	31-Jan	7	85	7	0	0	92	12.56637061
S.hua LA1364	5	abaxial	1	Aleksandra	31-Jan	7	197	6	1	0	204	12.56637061
S.hua LA1364	5	abaxial	2	Aleksandra	31-Jan	12	228	12	0	0	240	12.56637061
S.hua LA1364	1	adaxial	1	Sanne	02-Feb	3	76	3	0	0	79	12.56637061
S.hua LA1364	1	adaxial	2	Sanne	02-Feb	0	53	0	0	0	53	12.56637061
S.hua LA1364	1	abaxial	1	Sanne	02-Feb	5	132	5	0	0	137	12.56637061
S.hua LA1364	1	abaxial	2	Sanne	02-Feb	8	93	8	0	0	101	12.56637061
S.hua LA1364	3	adaxial	1	Sanne	07-Feb	11	56	4	0	7	67	12.56637061
S.hua LA1364	3	adaxial	2	Sanne	07-Feb	13	63	6	0	7	76	12.56637061
S.hua LA1364	3	abaxial	1	Sanne	07-Feb	8	334	6	0	2	342	12.56637061
S.hua LA1364	3	abaxial	2	Sanne	07-Feb	3	290	3	0	0	293	12.56637061
S.che LA1401	1	adaxial	1	Michelle	24-Mar	12	43	5	0	0	55	12.56637061
S.che LA1401	1	adaxial	2	Lisa	24-Mar	3	34	1	2	0	37	12.56637061
S.che LA1401	1	abaxial	1	Michelle	24-Mar	2	255	2	0	0	257	12.56637061
S.che LA1401	1	abaxial	2	Lisa	24-Mar	2	284	0	1	0	286	12.56637061
S.che LA1401	2	adaxial	1	Sanne	27-Mar	6	42	6	0	0	48	12.56637061
S.che LA1401	2	adaxial	2	Sanne	27-Mar	7	37	7	0	0	44	12.56637061
S.che LA1401	2	abaxial	1	Sanne	27-Mar	3	102	3	0	0	105	12.56637061
S.che LA1401	2	abaxial	2	Sanne	27-Mar	1	83	1	0	0	84	12.56637061
S.che LA1401	3	adaxial	1	Aleksandra	27-Mar	10	43	6	0	4	53	12.56637061
S.che LA1401	3	adaxial	2	Aleksandra	27-Mar	5	63	5	0	0	68	12.56637061
S.che LA1401	3	abaxial	1	Aleksandra	27-Mar	21	204	21	0	0	225	12.56637061
S.che LA1401	3	abaxial	2	Aleksandra	27-Mar	13	194	13	0	0	207	12.56637061
S.che LA1401	4	adaxial	1	Sanne	27-Mar	12	53	12	0	0	65	12.56637061
S.che LA1401	4	adaxial	2	Sanne	27-Mar	6	46	6	0	0	52	12.56637061
S.che LA1401	4	abaxial	1	Sanne	27-Mar	0	88	0	0	0	88	12.56637061
S.che LA1401	4	abaxial	2	Sanne	27-Mar	0	109	0	0	0	109	12.56637061
S.che LA1401	5	adaxial	1	Aleksandra	27-Mar	7	51	7	0	0	58	12.56637061
S.che LA1401	5	adaxial	2	Aleksandra	27-Mar	9	29	9	0	0	38	12.56637061
S.che LA1401	5	abaxial	1	Aleksandra	27-Mar	3	206	3	0	0	209	12.56637061
S.che LA1401	5	abaxial	2	Aleksandra	27-Mar	3	144	3	0	0	147	12.56637061
S.pim LA1578	1	adaxial	1	Marc	30-Jan	0	1258	0	0	0	1258	12.56637061
S.pim LA1578	1	adaxial	2	Marc	30-Jan	2	171	8	0	0	173	12.56637061
S.pim LA1578	1	abaxial	1	Marc	30-Jan	0	1258	0	0	0	1258	12.56637061
S.pim LA1578	1	abaxial	2	Marc	30-Jan	0	1345	0	0	0	1345	12.56637061
S.pim LA1578	4	adaxial	1	Michelle	30-Jan	4	128	2	2	0	132	12.56637061
S.pim LA1578	4	adaxial	2	Michelle	30-Jan	9	130	6	3	0	139	12.56637061
S.pim LA1578	4	abaxial	1	Michelle	30-Jan	27	1000	27	0	0	1027	12.56637061
S.pim LA1578	4	abaxial	2	Michelle	30-Jan	16	99	15	1	0	115	12.56637061
S.pim LA1578	3	adaxial	1	Michelle	01-Feb	96	770	96	0	0	866	12.56637061
S.pim LA1578	3	adaxial	2	Michelle	01-Feb	78	384	63	15	0	462	12.56637061
S.pim LA1578	3	abaxial	1	Michelle	01-Feb	33	600	33	0	0	633	12.56637061
S.pim LA1578	3	abaxial	2	Michelle	01-Feb	27	650	27	0	0	677	12.56637061
S.pim LA1578	5	adaxial	1	Sanne	01-Feb	17	190	17	0	0	207	12.56637061
S.pim LA1578	5	adaxial	2	Sanne	01-Feb	18	129	18	0	0	147	12.56637061
S.pim LA1578	5	abaxial	1	Sanne	01-Feb	10	582	10	0	0	592	12.56637061
S.pim LA1578	5	abaxial	2	Sanne	01-Feb	6	603	6	0	0	609	12.56637061
S.pim LA1578	2	adaxial	1	Sanne	07-Feb	119	240	119	0	0	359	12.56637061
S.pim LA1578	2	adaxial	2	Sanne	07-Feb	81	224	81	0	0	305	12.56637061
S.pim LA1578	2	abaxial	1	Sanne	07-Feb	36	489	36	0	0	525	12.56637061
S.pim LA1578	2	abaxial	2	Sanne	07-Feb	31	452	31	0	0	483	12.56637061
S.hab LA1718	2	adaxial	1	Ruy	30-Jan	66	6	54	12	0	72	12.56637061
S.hab LA1718	2	adaxial	2	Ruy	30-Jan	56	2	47	9	0	58	12.56637061
S.hab LA1718	2	abaxial	1	Ruy	30-Jan	26	1	0	26	0	27	12.56637061
S.hab LA1718	2	abaxial	2	Ruy	30-Jan	23	3	0	23	0	26	12.56637061
