5.541_67.0557	7.060_95.0168	9.272_93.0728	9.472_91.0566	9.653_91.0565	10.148_93.0730	10.581_105.0363	10.873_119.0877	11.056_91.0567	11.572_91.0564	11.844_91.0573	11.96_91.0560	12.373_91.0575	12.618_119.0885	12.761_91.0557	13.396_91.0579	13.604_105.0725_blank	14.572_91.0565	14.537_91.0571	14.844_105.0368	15.428_68.0279	15.562_91.0570	18.152_67.0559	18.702_97.0318	20.136_79.0560	20.614_58.0433	21.112_119.0858	21.260_109.1042	21.506_109.1042	21.673_129.0932	21.813_91.0566	22.444_161.1317	22.570_91.0567	22.891_161.1339	23.181_147.1173	23.223_93.0721	23.403_91.0566	23.681_91.0574	23.736_145.1019	23.997_91.0562	24.220_91.0566	24.291_119.0873	24.374_105.0720	24.442_95.0877	24.471_105.0723	24.500_81.0718	24.550_94.0801	24.602_117.0716	24.619_105.0723	24.707_93.0725	24.733_105.0717	24.814_105.0723	24.806_119.8074	24.843_161.1344	24.859_91.0567	25.020_145.1032	25.036_159.1160	25.153_119.0864	25.211_105.0732	25.356_105.0726	25.421_161.1340	25.421_58.0434	25.421_119.0869	25.508_105.0726	25.516_145.0981	25.533_105.0721	25.585_105.0719	25.641_119.0875	25.706_91.0568	25.779_97.0322	25.842_161.1316	25.911_105.0725	25.968_119.0881	26.045_91.0563	26.164_119.0865	26.200_105.0726	26.227_95.0152	26.529_131.0872	26.595_91.0568	26.689_109.1032	26.803_111.0836	26.833_81.0727	27.083_97.0317	27.996_91.0565	28.382_97.0323	30.160_91.0569	32.503_159.8606
S pen LA0716	0	4.82455860519373	0	0	4.69072216924372	0	0	0	0	0	4.7070231130948	4.5270011534198	0	5.26315654283205	4.7921498703426	3.74916626269934	5.12423417633453	0	0	0	4.6957371902678	0	0	4.77195139919327	0	0	0	0	0	4.67364804568356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.6392734664897	0	4.79579374190891	0	0	0	0	0	0	4.62122172166583	0	0	0	0	0	4.49382686954146	0	4.90438444711446	0	4.48310243121051
S hab PI127826	0	0	0	0	5.83582653744574	0	0	0	0	0	5.9619766555367	0	0	6.8320835251632	5.63629050056494	0	6.02141353359091	0	0	0	0	0	0	0	0	0	6.14925817276136	0	0	0	7.069141120908	0	0	0	0	6.31957595222324	0	0	5.92922135056903	7.10865090238689	0	0	7.0658784913032	6.88980698338421	0	0	0	6.68824531492397	0	0	7.40211651670058	7.78774889323254	0	6.56116752559905	0	7.00419870610874	0	6.98898308890247	0	6.86340357267452	0	0	7.24816006555777	0	7.66660302842677	6.93094954137414	0	7.01231146508037	0	0	0	0	0	6.93258451279661	0	6.94101498588585	0	6.44759301249029	5.86709275207449	6.16521700775731	0	0	0	5.77158041968057	0	0	0
S hab LYC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.51879939256247	0	0	0	0	0	0	0	0	0	0	0	0	0	6.52263282177612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.18310476246751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S hab LA1777	0	0	0	0	5.63022764678375	0	0	0	0	0	0	0	0	0	0	0	5.61915916770718	0	0	0	0	0	0	0	0	0	0	6.80205535823039	6.80609540284646	0	0	0	0	0	0	0	0	0	0	6.77059802947691	0	5.36489114412766	0	0	5.16689433249931	0	6.2762531325378	0	5.88192222413009	0	0	0	6.10228446077872	5.32322083273187	5.60226043776234	0	0	0	0	5.23011081059154	6.88805775254083	0	0	6.23875157843102	0	6.11390897085847	0	0	5.75426070857135	0	0	5.67574208472591	5.84468425228093	0	5.45390278667893	6.71354977111021	0	0	6.41151589852338	0	0	0	0	0	0	5.90913597207995	0
S hab PI134418	0	0	0	0	4.96109117917966	0	0	0	0	0	5.07587614678105	0	0	5.56142018694299	4.76050988280164	4.77180058972407	5.41200891371447	0	0	0	0	0	0	0	0	5.70458276515546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.69517259551573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.63258215707909	0	0	0	0	0
S hab LA1718	0	0	0	0	5.63991933482082	0	0	0	0	0	6.37393766288567	6.20900553771224	6.0091136138123	5.87434612076064	6.69909933100384	4.70623039325408	5.6825520425811	4.54127792726673	4.14738536819368	4.39789430754382	0	0	0	0	0	4.08646086073754	0	0	0	0	4.11629190139516	0	0	5.39492599858833	0	0	0	0	0	4.66387289672795	0	0	0	0	4.2458767719897	0	0	0	4.23896346782555	4.80537067760275	0	0	4.65177987158365	0	4.24678068799348	0	4.38530477628391	0	0	4.86589109285538	4.99289454179232	0	0	5.2299504523923	0	5.43143525472743	5.50426830544717	4.02773534437986	4.0102581745678	0	4.76904139186167	4.39144456326371	5.51848306820766	0	4.87112024651005	4.88736580922573	0	0	5.08305059299401	0	0	4.17867898380038	0	0	0	0	0
S per LA1954	4.27181433941885	0	0	0	5.39812997321399	0	0	0	4.56818846626263	0	4.6174346009474	4.51359015215255	4.0821744203716	5.14905905612085	4.33963716196149	4.56373643349232	5.59637273161805	0	3.92830693216529	0	0	0	0	0	0	0	0	0	0	0	0	4.12801960278632	0	0	0	0	0	0	0	5.10767439732875	4.01890519489165	0	0	0	0	4.40595559705502	0	0	3.94992455306212	4.72059915681266	0	0	0	0	0	0	0	0	0	4.15755823219361	0	0	0	0	0	0	0	0	4.00313347270633	0	0	0	0	0	4.10611685411551	0	0	0	0	0	0	0	0	0	0	0	0
S chm LA2695	0	0	0	0	5.25698005419801	0	0	0	0	0	4.94967597619755	0.291738731333767	0	5.51505127877265	4.96201028524036	4.43156567010364	5.61892091793328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.223478306119756	0	0	0	0	0	0	0	0.798456405890657	0	0	0	0	0	0	0	0	0	0.472339743364641	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S lyc LA4024	0	0	0	0	5.20376310956764	0	4.34947192682236	5.46758472319036	0	4.92752299200959	6.37411742466276	6.32422327298202	6.42779639430278	5.26565895576867	6.76911774737067	4.77302035923402	5.20352250352926	4.63015558051086	4.48717424572976	4.35431638432135	0	4.15511645156747	0	0	0	0	0	0	0	0	0	4.90325215788156	0	0	4.28794288023185	0	4.21999676357419	4.23122486409097	0	5.86037316556913	4.50345712888217	0	0	0	4.50749353044969	0	0	0	4.88558145767996	5.38666765627998	0	0	0	0	0	0	0	0	0	4.98883364873175	4.74642053662335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.42910077768821	0	0	0	0	0	0
S arc LA2172	0	0	0	0	5.27428479231196	0	0	0	5.19079178271582	0	4.47229932649804	0	0	5.09586358719516	4.85728182313154	4.00940183304905	5.31199216930951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.88469394083484	4.29169385241	0	4.85522081926307	0	3.87061926351755	4.0153020583216	0	5.9492488190577	4.37633648660117	0	0	0	5.15887246715921	0	0	0	5.16104890862035	5.37080119383216	0	0	3.91046141154482	0	0	0	4.04379584821696	0	4.73879151516798	5.13503148907002	5.62533204955019	0	0	4.36655578974008	0	3.88324631522229	4.19274235822889	0	4.78397954587637	0	4.40921293131177	0	4.49481199013265	0	3.83837766825469	4.74261868344198	0	0	3.78880988613075	0	4.32012340296833	0	0	0	0	0	0
