sample,accession,5.541_67.0557 ,7.060_95.0168 ,9.272_93.0728 ,9.472_91.0566 ,9.653_91.0565  -> RT = 9.678,10.148_93.0730 ,10.581_105.0363 ,10.873_119.0877 ,11.056_91.0567 ,11.572_91.0564 ,11.844_91.0573 ,11.96_91.0560 ,12.373_91.0575 ,12.618_119.0885 ,12.761_91.0557 ,13.396_91.0579 ,13.604_105.0725_blank ,14.572_91.0565 ,14.537_91.0571 ,14.844_105.0368 ,15.428_68.0279 ,15.562_91.0570 ,18.152_67.0559 ,18.702_97.0318 ,20.136_79.0560 ,20.614_58.0433 ,21.112_119.0858 ,21.260_109.1042 ,21.506_109.1042 ,21.673_129.0932 ,21.813_91.0566 ,22.444_161.1317 ,22.570_91.0567 ,22.891_161.1339 ,23.181_147.1173 ,23.223_93.0721 ,23.403_91.0566 ,23.681_91.0574 ,23.736_145.1019 ,23.997_91.0562 ,24.220_91.0566 ,24.291_119.0873 ,24.374_105.0720 ,24.442_95.0877 ,24.471_105.0723 ,24.500_81.0718 ,24.550_94.0801 ,24.602_117.0716 ,24.619_105.0723 ,24.707_93.0725 ,24.733_105.0717 ,24.806_119.8074 ,24.814_105.0723 ,24.843_161.1344 ,24.859_91.0567 ,25.020_145.1032 ,25.036_159.1160 ,25.153_119.0864 ,25.211_105.0732 ,25.356_105.0726 ,25.421_161.1340 ,25.421_58.0434 ,25.421_119.0869 ,25.508_105.0726 ,25.516_145.0981 ,25.533_105.0721 ,25.585_105.0719 ,25.641_119.0875 ,25.706_91.0568 ,25.779_97.0322 ,25.842_161.1316 ,25.911_105.0725 ,25.968_119.0881 ,26.045_91.0563 ,26.164_119.0865 ,26.200_105.0726 ,26.227_95.0152 ,26.529_131.0872 ,26.595_91.0568 ,26.689_109.1032 ,26.803_111.0836 ,26.833_81.0727 ,27.083_97.0317 ,27.996_91.0565 ,28.382_97.0323 ,30.160_91.0569 ,32.503_159.8606 
LA1777_1_rep_5x,LA1777,0,0,0,0,1005263.557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4906903.266,4666581.549,0,0,0,0,0,0,0,0,0,0,7694772.957,0,926725.5471,0,0,587427.5677,0,2233625.581,0,791350.8203,0,0,0,1047058.638,0,902842.6437,0,0,0,0,0,7861034.708,0,0,2773746.629,0,2862963.052,0,0,832686.6148,0,0,970357.7746,653564.8388,0,0,988040.3089,0,0,3374837.973,0,0,0,0,0,0,1366722.115,0
PI127826_4_rep_5x,PI127826,0,0,0,0,0,0,0,0,0,0,0,0,0,4362204.245,0,0,1722695.312,0,0,0,0,0,0,0,0,0,2273580.349,0,0,0,11552648.5,0,0,0,0,3448116.739,0,0,1679706.567,16104842.02,0,0,13958550.3,7325911.225,0,0,0,8213576.38,0,0,50576153.46,112171265.9,0,11541534.33,0,13453799.53,0,1896957.004,0,9829953.186,0,0,2305245.229,0,114436667.9,9439699.264,0,8573004.227,0,0,0,0,0,13290861.7,0,11587249.19,0,4066735.262,1825239.196,2081913.458,0,0,0,2363961.564,0,0,0
LA716_1_rep_1x,LA0716,0,22019.25139,0,0,0,0,0,0,0,0,41247.78185,0,0,241659.3237,44879.6396,22450.51222,145833.8797,0,0,0,43753.37164,0,0,58063.39015,0,0,0,0,0,45164.77073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33296.18751,0,45963.13789,0,0,0,0,0,0,43446.85568,0,0,0,0,0,28242.23826,0,69596.94429,0,65059.79521
LA716_4,LA0716,0,0,0,0,173871.2027,0,0,0,0,0,72858.29572,58596.5884,0,134546.5555,62339.55093,0,172348.9076,0,0,0,35797.47389,0,0,19848.68703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42063.20886,0,39870.00545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31536.61718,0,35307.04379
LA716_5,LA0716,0,96596.95718,0,0,22366.36878,0,0,0,0,0,34632.8419,76008.39682,0,148853.9955,60878.80171,0,175075.6573,0,0,0,66102.88568,0,0,102165.2637,0,0,0,0,0,85083.72408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64608.55468,0,112832.1142,0,0,0,0,0,0,80086.42205,0,0,0,0,0,65908.50116,0,147618.8439,0,21297.25392
LA1777_4_5x,LA1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,936663.5375,0,0,0,0,0,0,0,0,0,0,6418335.879,5846693.726,0,0,0,0,0,0,0,0,0,0,7593118.835,0,0,0,0,0,0,2117668.449,0,708784.4206,0,0,0,879888.1944,0,697895.9986,0,0,0,0,0,5213091.266,0,0,1626263.596,0,0,0,0,794725.1797,0,0,0,930311.9581,0,0,0,0,0,1429753.504,0,0,0,0,0,0,1104008.213,0
LA1777_3_rep_5x,LA1777,0,0,0,0,701949.1642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6237869.187,7184208.053,0,0,0,0,0,0,0,0,0,0,4460330.599,0,0,0,0,0,0,1983465.322,0,1547634.939,0,0,0,1763676.934,841939.3817,0,0,0,0,0,679470.8063,11671637.56,0,0,0,0,2336625.3,0,0,644129.8325,0,0,925483.9451,1213456.685,0,1137529.788,5498705.852,0,0,3346652.847,0,0,0,0,0,0,774129.6689,0
LA716_3_rep_1x,LA0716,0,148449.7882,0,0,0,0,0,0,0,0,55004.27184,0,0,208130.1273,79763.95752,0,39210.35829,0,0,0,52863.03024,0,0,56520.83418,0,0,0,0,0,58423.75883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34346.52621,0,51285.08323,0,0,0,0,0,0,43684.2172,0,0,0,0,0,30555.12035,0,72202.81098,0,0
PI127826_2_rep_5x,PI127826,0,0,0,0,2740857.955,0,0,0,0,0,3664684.969,0,0,18565475.59,1731212.949,0,0,0,0,0,0,0,0,0,0,0,1162026.953,0,0,0,6650344.246,0,0,0,0,1477609.781,0,0,0,16756146.26,0,0,13135653.89,1592767.257,0,0,0,5552314.044,0,0,2477352.711,103418931.8,0,3020683.287,0,11554989.17,0,13706673.61,0,9566688.992,0,0,54404389.23,0,2861516.584,2073751.429,0,13672383.08,0,0,0,0,0,11929617.71,0,15617774.27,0,4469136.956,1120218.187,2007187.474,0,0,0,0,0,0,0
LA1718_1,LA1718,0,0,0,0,1259624.157,0,0,0,0,0,10508625.48,7741658.687,4876222.779,953016.7886,23997297.22,155406.8589,551715.8877,173879.3194,70202.95168,124986.8468,0,0,0,0,0,0,0,0,0,0,0,0,0,935608.5851,0,0,0,0,0,132690.0402,0,0,0,0,0,0,0,0,0,242967.3352,0,0,72154.08948,0,88257.31121,0,0,0,0,0,0,0,0,0,0,608957.7097,1179450.131,0,0,0,189716.4769,0,930464.6763,0,113153.3228,119754.25,0,0,0,0,0,75448.21824,0,0,0,0,0
Lyc38_2_rep_1x,PI134418,0,0,0,0,152648.6329,0,0,0,0,0,118733.639,0,0,431147.9433,0,112887.9455,168228.8396,0,0,0,0,0,0,0,0,731609.1131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277340.143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65362.08305,0,0,0,0,0
