metabolite	name	toxic_to
11.844_91.0573	11.844_91.0573	whitefly
25.356_105.0726	25.356_105.0726	whitefly
26.164_119.0865	26.164_119.0865	whitefly
25.421_161.1340	25.421_161.1340	thrips
25.968_119.0881	25.968_119.0881	thrips
5.541_67.0557	5.541_67.0557 	whitefly
10.873_119.0877	10.873_119.0877 	whitefly
14.572_91.0565	14.572_91.0565 	whitefly
14.537_91.0571	14.537_91.0571 	whitefly
23.181_147.1173	23.181_147.1173 	whitefly
24.707_93.0725	24.707_93.0725 	whitefly
9.653_91.0565	9.653_91.0565	thrips
11.96_91.0560	11.96_91.0560 	thrips
12.373_91.0575	12.373_91.0575 	thrips
12.618_119.0885	12.618_119.0885 	thrips
12.761_91.0557	12.761_91.0557 	thrips
22.444_161.1317	22.444_161.1317 	thrips
23.181_147.1173	23.181_147.1173 	thrips
24.220_91.0566	24.220_91.0566 	thrips
26.200_105.0726	26.200_105.0726 	thrips
26.803_111.0836	26.803_111.0836 	thrips
S3:15	S3:15	whitefly
S3:21	S3:21	whitefly
S4:17-2	S4:17-2	whitefly
S4:19	S4:19	whitefly
S4:22	S4:22	whitefly
S4:21	S4:21	whitefly
S4:21-3	S4:21-3	whitefly
S4:21-4	S4:21-4	whitefly
S4:22-2	S4:22-2	whitefly
