dose	time	status	compound
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
A	6	0	2-undecanone
A	6	0	2-undecanone
A	6	0	2-undecanone
A	6	0	2-undecanone
A	3	1	2-undecanone
A	6	0	2-undecanone
A	6	0	2-undecanone
A	6	0	2-undecanone
A	6	0	2-undecanone
A	6	0	2-undecanone
A	6	0	2-undecanone
A	6	0	2-undecanone
B	6	0	2-undecanone
B	6	0	2-undecanone
B	6	0	2-undecanone
B	6	0	2-undecanone
B	5	1	2-undecanone
B	1	1	2-undecanone
B	6	0	2-undecanone
B	6	1	2-undecanone
B	6	0	2-undecanone
B	6	0	2-undecanone
B	5	1	2-undecanone
B	6	0	2-undecanone
C	6	0	2-undecanone
C	6	0	2-undecanone
C	6	0	2-undecanone
C	6	1	2-undecanone
C	6	0	2-undecanone
C	3	1	2-undecanone
C	6	0	2-undecanone
C	6	0	2-undecanone
C	6	0	2-undecanone
C	6	0	2-undecanone
C	6	0	2-undecanone
C	6	0	2-undecanone
