dose	time	status	compound
water	3	0	a-phellandrene
water	1	1	a-phellandrene
water	3	0	a-phellandrene
water	4	0	a-phellandrene
water	1	1	a-phellandrene
water	3	0	a-phellandrene
water	3	1	a-phellandrene
water	2	1	a-phellandrene
water	3	1	a-phellandrene
water	6	1	a-phellandrene
water	4	0	a-phellandrene
water	5	1	a-phellandrene
water	3	1	a-phellandrene
water	3	1	a-phellandrene
water	3	1	a-phellandrene
water	5	1	a-phellandrene
water	5	1	a-phellandrene
water	3	1	a-phellandrene
water	1	0	a-phellandrene
water	2	0	a-phellandrene
water	3	0	a-phellandrene
water	5	1	a-phellandrene
water	1	1	a-phellandrene
water	5	1	a-phellandrene
mock	3	0	a-phellandrene
mock	2	1	a-phellandrene
mock	1	1	a-phellandrene
mock	1	1	a-phellandrene
mock	1	1	a-phellandrene
mock	1	0	a-phellandrene
mock	5	1	a-phellandrene
mock	7	1	a-phellandrene
mock	3	1	a-phellandrene
mock	1	1	a-phellandrene
mock	1	1	a-phellandrene
mock	1	1	a-phellandrene
mock	1	1	a-phellandrene
mock	2	0	a-phellandrene
mock	1	1	a-phellandrene
mock	2	1	a-phellandrene
mock	2	1	a-phellandrene
mock	1	1	a-phellandrene
mock	4	1	a-phellandrene
mock	2	1	a-phellandrene
mock	1	1	a-phellandrene
mock	1	1	a-phellandrene
mock	1	1	a-phellandrene
mock	2	0	a-phellandrene
A	3	1	a-phellandrene
A	3	1	a-phellandrene
A	2	1	a-phellandrene
A	4	0	a-phellandrene
A	1	1	a-phellandrene
A	4	0	a-phellandrene
A	1	1	a-phellandrene
A	2	1	a-phellandrene
A	4	1	a-phellandrene
A	3	1	a-phellandrene
A	2	1	a-phellandrene
A	6	1	a-phellandrene
A	4	1	a-phellandrene
A	5	1	a-phellandrene
A	2	1	a-phellandrene
A	2	1	a-phellandrene
A	3	0	a-phellandrene
A	7	1	a-phellandrene
A	4	0	a-phellandrene
A	1	0	a-phellandrene
A	1	0	a-phellandrene
A	2	1	a-phellandrene
A	3	1	a-phellandrene
A	1	1	a-phellandrene
B	5	0	a-phellandrene
B	1	1	a-phellandrene
B	2	1	a-phellandrene
B	2	1	a-phellandrene
B	2	1	a-phellandrene
B	6	0	a-phellandrene
B	3	1	a-phellandrene
B	2	1	a-phellandrene
B	3	1	a-phellandrene
B	3	1	a-phellandrene
B	1	1	a-phellandrene
B	3	0	a-phellandrene
B	7	1	a-phellandrene
B	1	0	a-phellandrene
B	1	0	a-phellandrene
B	5	1	a-phellandrene
B	3	0	a-phellandrene
B	5	1	a-phellandrene
B	5	0	a-phellandrene
B	7	0	a-phellandrene
B	3	0	a-phellandrene
B	1	0	a-phellandrene
B	6	1	a-phellandrene
B	2	1	a-phellandrene
C	1	0	a-phellandrene
C	1	1	a-phellandrene
C	1	1	a-phellandrene
C	1	1	a-phellandrene
C	1	0	a-phellandrene
C	3	0	a-phellandrene
C	1	1	a-phellandrene
C	2	0	a-phellandrene
C	1	1	a-phellandrene
C	3	1	a-phellandrene
C	6	1	a-phellandrene
C	1	1	a-phellandrene
C	1	1	a-phellandrene
C	3	1	a-phellandrene
C	4	0	a-phellandrene
C	1	1	a-phellandrene
C	3	1	a-phellandrene
C	1	1	a-phellandrene
C	1	1	a-phellandrene
C	3	1	a-phellandrene
C	2	1	a-phellandrene
C	1	0	a-phellandrene
C	1	1	a-phellandrene
C	1	1	a-phellandrene
