dose	time	status	compound
mock	3	0	a-terpinene
mock	2	1	a-terpinene
mock	1	1	a-terpinene
mock	1	1	a-terpinene
mock	1	1	a-terpinene
mock	1	0	a-terpinene
mock	5	1	a-terpinene
mock	7	1	a-terpinene
mock	3	1	a-terpinene
mock	1	1	a-terpinene
mock	1	1	a-terpinene
mock	1	1	a-terpinene
mock	1	1	a-terpinene
mock	2	0	a-terpinene
mock	1	1	a-terpinene
mock	2	1	a-terpinene
mock	2	1	a-terpinene
mock	1	1	a-terpinene
mock	4	1	a-terpinene
mock	2	1	a-terpinene
mock	1	1	a-terpinene
mock	1	1	a-terpinene
mock	1	1	a-terpinene
mock	2	0	a-terpinene
water	3	0	a-terpinene
water	1	1	a-terpinene
water	3	0	a-terpinene
water	4	0	a-terpinene
water	1	1	a-terpinene
water	3	0	a-terpinene
water	3	1	a-terpinene
water	2	1	a-terpinene
water	3	1	a-terpinene
water	6	1	a-terpinene
water	4	0	a-terpinene
water	5	1	a-terpinene
water	3	1	a-terpinene
water	3	1	a-terpinene
water	3	1	a-terpinene
water	5	1	a-terpinene
water	5	1	a-terpinene
water	3	1	a-terpinene
water	1	0	a-terpinene
water	2	0	a-terpinene
water	3	0	a-terpinene
water	5	1	a-terpinene
water	1	1	a-terpinene
water	5	1	a-terpinene
A	4	0	a-terpinene
A	1	1	a-terpinene
A	1	0	a-terpinene
A	3	1	a-terpinene
A	6	1	a-terpinene
A	5	1	a-terpinene
A	4	1	a-terpinene
A	3	0	a-terpinene
A	2	1	a-terpinene
A	6	1	a-terpinene
A	4	0	a-terpinene
A	3	1	a-terpinene
A	6	1	a-terpinene
A	3	0	a-terpinene
A	6	1	a-terpinene
A	2	1	a-terpinene
A	6	1	a-terpinene
A	2	1	a-terpinene
A	4	0	a-terpinene
A	1	0	a-terpinene
A	4	0	a-terpinene
A	1	0	a-terpinene
A	3	1	a-terpinene
A	5	1	a-terpinene
B	1	1	a-terpinene
B	3	0	a-terpinene
B	1	1	a-terpinene
B	1	1	a-terpinene
B	1	0	a-terpinene
B	1	1	a-terpinene
B	1	1	a-terpinene
B	3	0	a-terpinene
B	1	1	a-terpinene
B	2	1	a-terpinene
B	5	1	a-terpinene
B	5	1	a-terpinene
B	4	0	a-terpinene
B	4	1	a-terpinene
B	7	0	a-terpinene
B	2	0	a-terpinene
B	2	1	a-terpinene
B	2	0	a-terpinene
B	6	1	a-terpinene
B	1	1	a-terpinene
B	2	0	a-terpinene
B	1	1	a-terpinene
B	1	0	a-terpinene
B	4	0	a-terpinene
C	1	1	a-terpinene
C	1	0	a-terpinene
C	1	1	a-terpinene
C	2	0	a-terpinene
C	2	1	a-terpinene
C	1	1	a-terpinene
C	1	1	a-terpinene
C	2	1	a-terpinene
C	1	1	a-terpinene
C	1	1	a-terpinene
C	1	1	a-terpinene
C	2	1	a-terpinene
C	2	1	a-terpinene
C	5	1	a-terpinene
C	4	1	a-terpinene
C	2	1	a-terpinene
C	1	1	a-terpinene
C	1	0	a-terpinene
C	1	1	a-terpinene
C	5	0	a-terpinene
C	1	0	a-terpinene
C	1	1	a-terpinene
C	1	1	a-terpinene
C	3	1	a-terpinene
