dose	time	status	compound
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	1	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	5	1	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	6	0	b-phellandrene
water	5	1	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	2	1	b-phellandrene
mock	6	0	b-phellandrene
mock	4	1	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
mock	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	1	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
11e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
110e-03	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	4	1	b-phellandrene
1.1	1	1	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
1.1	6	0	b-phellandrene
