sample	dose	alive	dead	compound
1	untreated	11	4	2-pentadecanone
2	untreated	14	3	2-pentadecanone
3	untreated	22	1	2-pentadecanone
4	untreated	13	3	2-pentadecanone
5	untreated	15	0	2-pentadecanone
6	mock	11	3	2-pentadecanone
7	mock	11	5	2-pentadecanone
8	mock	13	3	2-pentadecanone
9	mock	16	2	2-pentadecanone
10	mock	14	4	2-pentadecanone
11	1	12	3	2-pentadecanone
12	1	13	3	2-pentadecanone
13	1	20	0	2-pentadecanone
14	1	17	2	2-pentadecanone
15	1	14	2	2-pentadecanone
16	10	17	1	2-pentadecanone
17	10	16	1	2-pentadecanone
18	10	15	0	2-pentadecanone
19	10	14	2	2-pentadecanone
20	10	14	1	2-pentadecanone
21	50	13	2	2-pentadecanone
22	50	11	4	2-pentadecanone
23	50	17	1	2-pentadecanone
24	50	11	4	2-pentadecanone
25	50	13	3	2-pentadecanone
26	100	12	5	2-pentadecanone
27	100	13	2	2-pentadecanone
28	100	14	1	2-pentadecanone
29	100	15	1	2-pentadecanone
30	100	9	4	2-pentadecanone
