sample	dose	alive	dead	compound
5	mock	13	2	2-tridecanone
6	mock	13	1	2-tridecanone
7	mock	10	5	2-tridecanone
8	mock	6	6	2-tridecanone
9	0.56	13	5	2-tridecanone
10	0.56	8	5	2-tridecanone
11	0.56	5	4	2-tridecanone
12	0.56	9	4	2-tridecanone
13	5.6	7	3	2-tridecanone
14	5.6	14	10	2-tridecanone
15	5.6	11	3	2-tridecanone
16	5.6	3	10	2-tridecanone
17	56	8	4	2-tridecanone
18	56	7	9	2-tridecanone
19	56	6	7	2-tridecanone
20	56	12	7	2-tridecanone
26	mock	5	2	2-tridecanone
27	mock	1	9	2-tridecanone
28	mock	13	1	2-tridecanone
29	mock	9	1	2-tridecanone
30	mock	4	3	2-tridecanone
31	0.56	5	2	2-tridecanone
32	0.56	0	6	2-tridecanone
33	0.56	2	11	2-tridecanone
34	0.56	6	2	2-tridecanone
35	5.6	2	4	2-tridecanone
36	5.6	2	9	2-tridecanone
37	5.6	1	6	2-tridecanone
38	5.6	0	9	2-tridecanone
39	5.6	3	7	2-tridecanone
40	56	0	7	2-tridecanone
41	56	2	6	2-tridecanone
42	56	1	6	2-tridecanone
43	56	2	6	2-tridecanone
44	56	3	17	2-tridecanone
