sample	dose	alive	dead	compound
1	water	NA	NA	b-phellandrene
2	water	NA	NA	b-phellandrene
3	water	NA	NA	b-phellandrene
4	water	NA	NA	b-phellandrene
5	water	NA	NA	b-phellandrene
6	mock	9	6	b-phellandrene
7	mock	5	6	b-phellandrene
8	mock	8	6	b-phellandrene
9	mock	8	4	b-phellandrene
10	mock	15	0	b-phellandrene
11	A	8	2	b-phellandrene
12	A	9	3	b-phellandrene
13	A	13	2	b-phellandrene
14	A	11	5	b-phellandrene
15	A	8	6	b-phellandrene
16	B	9	7	b-phellandrene
17	B	10	2	b-phellandrene
18	B	11	2	b-phellandrene
19	B	14	3	b-phellandrene
20	B	19	6	b-phellandrene
21	C	5	7	b-phellandrene
22	C	8	6	b-phellandrene
23	C	11	3	b-phellandrene
24	C	3	10	b-phellandrene
25	C	7	8	b-phellandrene
