sample	dose	alive	dead	compound
26	mock	6	10	fraction_4
27	mock	5	7	fraction_4
28	mock	4	11	fraction_4
29	mock	7	9	fraction_4
30	mock	5	10	fraction_4
31	1	10	5	fraction_4
32	1	5	12	fraction_4
33	1	4	11	fraction_4
34	1	11	8	fraction_4
35	1	6	11	fraction_4
36	10	5	9	fraction_4
37	10	7	9	fraction_4
38	10	5	9	fraction_4
39	10	4	12	fraction_4
40	10	13	4	fraction_4
41	20	4	11	fraction_4
42	20	9	7	fraction_4
43	20	1	16	fraction_4
44	20	7	8	fraction_4
45	20	6	8	fraction_4
46	50	6	13	fraction_4
47	50	4	7	fraction_4
48	50	2	10	fraction_4
49	50	7	9	fraction_4
50	50	3	12	fraction_4
