sample	dose	alive	dead	compound
6	mock	5	12	2-pinene
7	mock	7	9	2-pinene
8	mock	4	10	2-pinene
9	mock	7	5	2-pinene
10	mock	6	11	2-pinene
11	0.56	4	11	2-pinene
12	0.56	9	7	2-pinene
13	0.56	7	6	2-pinene
14	0.56	6	6	2-pinene
15	0.56	7	9	2-pinene
16	5.6	4	9	2-pinene
17	5.6	3	10	2-pinene
18	5.6	7	8	2-pinene
19	5.6	4	15	2-pinene
20	5.6	4	10	2-pinene
21	11.3	13	13	2-pinene
22	11.3	6	8	2-pinene
23	11.3	11	4	2-pinene
24	11.3	2	11	2-pinene
25	11.3	6	5	2-pinene
26	28.2	7	5	2-pinene
27	28.2	8	6	2-pinene
28	28.2	5	11	2-pinene
29	28.2	8	8	2-pinene
30	28.2	10	5	2-pinene
