metabolite	metabolite_class
X5.541_67.0557 	other carbohydrate
X7.060_95.0168 	other carbohydrate
X9.272_93.0728 	monoterpene
X9.472_91.0566 	monoterpene
X9.653_91.0565 	monoterpene
X10.148_93.0730 	monoterpene
X10.581_105.0363 	monoterpene
X10.873_119.0877 	monoterpene
X11.056_91.0567 	monoterpene
X11.572_91.0564 	monoterpene
X11.844_91.0573 	monoterpene
X11.96_91.0560 	monoterpene
X12.373_91.0575 	monoterpene
X12.618_119.0885 	monoterpene
X12.761_91.0557 	monoterpene
X13.396_91.0579 	monoterpene
X13.604_105.0725_blank 	monoterpene
X14.572_91.0565 	monoterpene
X14.537_91.0571 	monoterpene
X14.844_105.0368 	monoterpene
X15.428_68.0279 	other carbohydrate
X15.562_91.0570 	monoterpene
X18.152_67.0559 	other carbohydrate
X18.702_97.0318 	other carbohydrate
X20.136_79.0560 	other carbohydrate
X20.614_58.0433 	methylketon
X21.112_119.0858 	sesquiterpene
X21.260_109.1042 	sesquiterpene
X21.506_109.1042 	sesquiterpene
X21.673_129.0932 	other carbohydrate
X21.813_91.0566 	sesquiterpene
X22.444_161.1317 	sesquiterpene
X22.570_91.0567 	sesquiterpene
X22.891_161.1339 	sesquiterpene
X23.181_147.1173 	other carbohydrate
X23.223_93.0721 	sesquiterpene
X23.403_91.0566 	sesquiterpene
X23.681_91.0574 	sesquiterpene
X23.736_145.1019 	sesquiterpene
X23.997_91.0562 	sesquiterpene
X24.220_91.0566 	sesquiterpene
X24.291_119.0873 	sesquiterpene
X24.374_105.0720 	sesquiterpene
X24.442_95.0877 	other carbohydrate
X24.471_105.0723 	sesquiterpene
X24.500_81.0718 	other carbohydrate
X24.550_94.0801 	sesquiterpene
X24.602_117.0716 	other carbohydrate
X24.619_105.0723 	sesquiterpene
X24.707_93.0725 	sesquiterpene
X24.733_105.0717 	sesquiterpene
X24.814_105.0723 	sesquiterpene
X24.806_119.8074 	sesquiterpene
X24.843_161.1344 	sesquiterpene
X24.859_91.0567 	sesquiterpene
X25.020_145.1032 	sesquiterpene
X25.036_159.1160 	sesquiterpene
X25.153_119.0864 	sesquiterpene
X25.211_105.0732 	sesquiterpene
X25.356_105.0726 	sesquiterpene
X25.421_161.1340 	sesquiterpene
X25.421_58.0434 	methylketon
X25.421_119.0869 	sesquiterpene
X25.508_105.0726 	sesquiterpene
X25.516_145.0981 	sesquiterpene
X25.533_105.0721 	sesquiterpene
X25.585_105.0719 	sesquiterpene
X25.641_119.0875 	sesquiterpene
X25.706_91.0568 	sesquiterpene
X25.779_97.0322 	other carbohydrate
X25.842_161.1316 	sesquiterpene
X25.911_105.0725 	sesquiterpene
X25.968_119.0881 	sesquiterpene
X26.045_91.0563 	sesquiterpene
X26.164_119.0865 	sesquiterpene
X26.200_105.0726 	sesquiterpene
X26.227_95.0152 	sesquiterpene
X26.529_131.0872 	other carbohydrate
X26.595_91.0568 	sesquiterpene
X26.689_109.1032 	sesquiterpene
X26.803_111.0836 	other carbohydrate
X26.833_81.0727 	other carbohydrate
X27.083_97.0317 	sesquiterpene
X27.996_91.0565 	sesquiterpene
X28.382_97.0323 	other carbohydrate
X30.160_91.0569 	sesquiterpene
X32.503_159.8606 	other carbohydrate
