sample,isolation,Accession,5.541_67.0557 ,7.060_95.0168 ,9.272_93.0728 ,9.472_91.0566 ,9.653_91.0565 ,10.148_93.0730 ,10.581_105.0363 ,10.873_119.0877 ,11.056_91.0567 ,11.572_91.0564 ,11.844_91.0573 ,11.96_91.0560 ,12.373_91.0575 ,12.618_119.0885 ,12.761_91.0557 ,13.396_91.0579 ,13.604_105.0725_blank ,14.572_91.0565 ,14.537_91.0571 ,14.844_105.0368 ,15.428_68.0279 ,15.562_91.0570 ,18.152_67.0559 ,18.702_97.0318 ,20.136_79.0560 ,20.614_58.0433 ,21.112_119.0858 ,21.260_109.1042 ,21.506_109.1042 ,21.673_129.0932 ,21.813_91.0566 ,22.444_161.1317 ,22.570_91.0567 ,22.891_161.1339 ,23.181_147.1173 ,23.223_93.0721 ,23.403_91.0566 ,23.681_91.0574 ,23.736_145.1019 ,23.997_91.0562 ,24.220_91.0566 ,24.291_119.0873 ,24.374_105.0720 ,24.442_95.0877 ,24.471_105.0723 ,24.500_81.0718 ,24.550_94.0801 ,24.602_117.0716 ,24.619_105.0723 ,24.707_93.0725 ,24.733_105.0717 ,24.814_105.0723 ,24.806_119.8074 ,24.843_161.1344 ,24.859_91.0567 ,25.020_145.1032 ,25.036_159.1160 ,25.153_119.0864 ,25.211_105.0732 ,25.356_105.0726 ,25.421_161.1340 ,25.421_58.0434 ,25.421_119.0869 ,25.508_105.0726 ,25.516_145.0981 ,25.533_105.0721 ,25.585_105.0719 ,25.641_119.0875 ,25.706_91.0568 ,25.779_97.0322 ,25.842_161.1316 ,25.911_105.0725 ,25.968_119.0881 ,26.045_91.0563 ,26.164_119.0865 ,26.200_105.0726 ,26.227_95.0152 ,26.529_131.0872 ,26.595_91.0568 ,26.689_109.1032 ,26.803_111.0836 ,26.833_81.0727 ,27.083_97.0317 ,27.996_91.0565 ,28.382_97.0323 ,30.160_91.0569 ,32.503_159.8606 
1_1_2_rep_C32_Stem,stem,C32,0,0,0,0,0,0,0,183588.2832,0,0,15600052.64,10391250.88,17344911.55,94242.35216,7157742.407,0,0,217368.0872,157483.2067,0,0,79690.62878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_1_rep_C32_Stem,stem,C32,0,0,0,0,927291.6207,0,0,1256234.119,0,0,32814868.65,23265409.67,38908800.28,157946.7698,42757971.21,0,0,372167.1735,144490.0312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_2_C32_Stem,stem,C32,0,0,0,0,961894.4855,0,0,1393958.159,0,0,32274088.02,8112436.47,6683570.349,0,63362050.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1_3_C32_Stem,stem,C32,0,0,0,0,686923.7593,0,0,0,0,0,3068614.296,12694939.68,17215987.58,0,19845020.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_1_LA1718_Stem,stem,LA1718,0,0,0,0,445251.5954,0,0,0,0,0,43057689.05,29691608.11,50803972.82,1830892.064,53650738.67,0,0,809985.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410025.3021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10_2_LA1718_Stem,stem,LA1718,0,0,0,0,933856.3774,0,0,0,0,0,15698697.45,6112566.447,5573216.744,373733.1339,48040049.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1501793.521,0,0,0,0,0,290638.9746,0,0,0,0,0,310650.1827,0,0,4010817.849,0,0,0,0,0,0,0,0,0,0,0
10_3_rep_LA1718_Stem,stem,LA1718,0,0,0,0,0,0,0,0,0,0,4856832.042,0,446667.757,0,27940498.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,452342.7311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,870162.7028,0,0,0,0,0,0,0,0,0,0,0
11_1_LA1777_Stem,stem,LA1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199704.169,1138719.823,0,0,0,0,0,0,0,0,0,0,367386.2735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376563.5293,0,0,0,0,0,0,0,0,0,0,0,0,0,479585.6269,1058936.906,0,0,0,0,0,0,0,0,0,0,0
11_2_LA1777_Stem,stem,LA1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2995692.793,3184921.103,0,0,0,0,0,0,0,0,0,0,948312.4293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530228.679,0,0,0,0,244947.5447,0,0,0,0,0,0,0,0,2736513.929,6405782.318,0,539342.895,3583277.45,258696.4467,0,0,0,0,0,228786.5545,0
11_3_LA1777_Stem,stem,LA1777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1301252.276,1822531.744,0,0,0,0,0,0,0,0,0,0,2350653.079,0,0,0,0,0,0,184140.5859,0,0,0,0,0,0,0,0,0,0,0,0,0,792005.057,0,0,255508.3338,0,217642.1403,0,0,0,0,0,0,0,0,670974.7936,2435232.707,0,0,0,0,0,0,0,0,0,0,0
