	p-value	average	sd	rsd
5.541_67.0557 	0.023809523809523808	0.004741621913474206	0.0010803553030988722	0.22784509663852373
11.844_91.0573 	0.011904761904761904	0.030292724144685347	0.005490140783886965	0.18123628491332539
14.572_91.0565 	0.047619047619047616	0.0036830535546491586	0.0007979229168181938	0.21664711223407734
14.537_91.0571 	0.0	0.005855427980485296	0.001951418887174321	0.3332666533817718
14.844_105.0368 	0.023809523809523808	0.005468644851743089	0.0023251452418588834	0.42517759059042953
24.707_93.0725 	0.011904761904761904	0.0925249787574203	0.02349585224300798	0.2539406391500918
24.814_105.0723 	0.011904761904761904	0.001108862483378116	0.0007058496629995769	0.6365529302147795
25.356_105.0726 	0.011904761904761904	0.015180813076140848	0.002494612690945483	0.16432668516722454
25.508_105.0726 	0.011904761904761904	0.006100747085115732	0.0016616743060009892	0.27237226569431977
25.641_119.0875 	0.047619047619047616	0.01485979456044276	0.0066960870416623046	0.45061773999806826
26.164_119.0865 	0.03571428571428571	0.01815084006797254	0.008515036061279804	0.46912627897067577
