dose	time	status	compound
water	4	0	2-tridecanone
water	4	0	2-tridecanone
water	4	0	2-tridecanone
water	4	0	2-tridecanone
water	4	0	2-tridecanone
water	4	0	2-tridecanone
water	3	1	2-tridecanone
water	4	0	2-tridecanone
water	4	0	2-tridecanone
water	4	0	2-tridecanone
water	1	1	2-tridecanone
water	4	0	2-tridecanone
water	6	0	2-tridecanone
water	6	0	2-tridecanone
water	6	0	2-tridecanone
water	6	0	2-tridecanone
water	6	0	2-tridecanone
water	6	0	2-tridecanone
water	6	0	2-tridecanone
water	6	0	2-tridecanone
water	6	0	2-tridecanone
water	6	0	2-tridecanone
water	6	0	2-tridecanone
water	6	0	2-tridecanone
mock	4	0	2-tridecanone
mock	4	0	2-tridecanone
mock	4	0	2-tridecanone
mock	4	0	2-tridecanone
mock	4	1	2-tridecanone
mock	4	0	2-tridecanone
mock	4	0	2-tridecanone
mock	1	1	2-tridecanone
mock	4	0	2-tridecanone
mock	4	0	2-tridecanone
mock	4	0	2-tridecanone
mock	4	0	2-tridecanone
mock	6	0	2-tridecanone
mock	6	0	2-tridecanone
mock	6	0	2-tridecanone
mock	6	0	2-tridecanone
mock	6	0	2-tridecanone
mock	6	0	2-tridecanone
mock	6	0	2-tridecanone
mock	6	0	2-tridecanone
mock	6	0	2-tridecanone
mock	6	0	2-tridecanone
mock	6	0	2-tridecanone
mock	6	0	2-tridecanone
5.60E-02	6	0	2-tridecanone
5.60E-02	6	0	2-tridecanone
5.60E-02	5	1	2-tridecanone
5.60E-02	6	0	2-tridecanone
5.60E-02	6	0	2-tridecanone
5.60E-02	6	0	2-tridecanone
5.60E-02	6	0	2-tridecanone
5.60E-02	6	0	2-tridecanone
5.60E-02	6	0	2-tridecanone
5.60E-02	6	0	2-tridecanone
5.60E-02	6	0	2-tridecanone
5.60E-02	6	0	2-tridecanone
0.56	6	0	2-tridecanone
0.56	6	0	2-tridecanone
0.56	1	1	2-tridecanone
0.56	6	0	2-tridecanone
0.56	6	0	2-tridecanone
0.56	6	0	2-tridecanone
0.56	6	0	2-tridecanone
0.56	1	1	2-tridecanone
0.56	3	1	2-tridecanone
0.56	6	0	2-tridecanone
0.56	6	1	2-tridecanone
0.56	6	1	2-tridecanone
5.6	2	1	2-tridecanone
5.6	1	1	2-tridecanone
5.6	1	1	2-tridecanone
5.6	4	0	2-tridecanone
5.6	4	0	2-tridecanone
5.6	4	0	2-tridecanone
5.6	4	0	2-tridecanone
5.6	3	1	2-tridecanone
5.6	1	1	2-tridecanone
5.6	1	1	2-tridecanone
5.6	1	1	2-tridecanone
5.6	1	1	2-tridecanone
5.6	6	0	2-tridecanone
5.6	6	0	2-tridecanone
5.6	6	0	2-tridecanone
5.6	6	0	2-tridecanone
5.6	6	0	2-tridecanone
5.6	6	0	2-tridecanone
5.6	6	0	2-tridecanone
5.6	6	0	2-tridecanone
5.6	6	0	2-tridecanone
5.6	6	0	2-tridecanone
5.6	6	0	2-tridecanone
5.6	6	0	2-tridecanone
56	1	1	2-tridecanone
56	2	1	2-tridecanone
56	6	0	2-tridecanone
56	6	0	2-tridecanone
56	1	1	2-tridecanone
56	1	1	2-tridecanone
56	1	1	2-tridecanone
56	6	0	2-tridecanone
56	6	0	2-tridecanone
56	1	1	2-tridecanone
56	1	1	2-tridecanone
56	6	0	2-tridecanone
56	4	0	2-tridecanone
56	1	1	2-tridecanone
56	2	1	2-tridecanone
56	1	1	2-tridecanone
56	4	0	2-tridecanone
56	1	1	2-tridecanone
56	1	1	2-tridecanone
56	1	1	2-tridecanone
56	1	1	2-tridecanone
56	1	1	2-tridecanone
56	4	0	2-tridecanone
56	1	1	2-tridecanone
