sample	dose	alive	dead	compound
6	mock	9	6	β-phellandrene
7	mock	5	6	β-phellandrene
8	mock	8	6	β-phellandrene
9	mock	8	4	β-phellandrene
10	mock	15	0	β-phellandrene
11	1	8	2	β-phellandrene
12	1	9	3	β-phellandrene
13	1	13	2	β-phellandrene
14	1	11	5	β-phellandrene
15	1	8	6	β-phellandrene
16	10	9	7	β-phellandrene
17	10	10	2	β-phellandrene
18	10	11	2	β-phellandrene
19	10	14	3	β-phellandrene
20	10	19	6	β-phellandrene
21	20	14	5	β-phellandrene
22	20	11	6	β-phellandrene
23	20	7	9	β-phellandrene
24	20	10	5	β-phellandrene
25	20	14	3	β-phellandrene
26	50	5	7	β-phellandrene
27	50	8	6	β-phellandrene
28	50	11	3	β-phellandrene
29	50	3	10	β-phellandrene
30	50	7	8	β-phellandrene
