dose	time	status	compound
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
water	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
mock	6	0	2-undecanone
5e-03	6	0	2-undecanone
5e-03	6	0	2-undecanone
5e-03	6	0	2-undecanone
5e-03	6	0	2-undecanone
5e-03	3	1	2-undecanone
5e-03	6	0	2-undecanone
5e-03	6	0	2-undecanone
5e-03	6	0	2-undecanone
5e-03	6	0	2-undecanone
5e-03	6	0	2-undecanone
5e-03	6	0	2-undecanone
5e-03	6	0	2-undecanone
11e-03	6	0	2-undecanone
11e-03	6	0	2-undecanone
11e-03	6	0	2-undecanone
11e-03	6	0	2-undecanone
11e-03	5	1	2-undecanone
11e-03	1	1	2-undecanone
11e-03	6	0	2-undecanone
11e-03	6	1	2-undecanone
11e-03	6	0	2-undecanone
11e-03	6	0	2-undecanone
11e-03	5	1	2-undecanone
11e-03	6	0	2-undecanone
28e-03	6	0	2-undecanone
28e-03	6	0	2-undecanone
28e-03	6	0	2-undecanone
28e-03	5	1	2-undecanone
28e-03	5	1	2-undecanone
28e-03	6	0	2-undecanone
28e-03	6	0	2-undecanone
28e-03	6	0	2-undecanone
28e-03	6	0	2-undecanone
28e-03	6	0	2-undecanone
28e-03	6	0	2-undecanone	
28e-03	6	0	2-undecanone
56e-03	6	0	2-undecanone
56e-03	6	0	2-undecanone
56e-03	6	0	2-undecanone
56e-03	6	1	2-undecanone
56e-03	6	0	2-undecanone
56e-03	3	1	2-undecanone
56e-03	6	0	2-undecanone
56e-03	6	0	2-undecanone
56e-03	6	0	2-undecanone
56e-03	6	0	2-undecanone
56e-03	6	0	2-undecanone
56e-03	6	0	2-undecanone
