sample	dose	alive	dead	compound
1	untreated	10	3	2-tridecanone
2	untreated	6	2	2-tridecanone
3	untreated	9	1	2-tridecanone
4	untreated	10	2	2-tridecanone
5	mock	13	2	2-tridecanone
6	mock	13	1	2-tridecanone
7	mock	10	5	2-tridecanone
8	mock	6	6	2-tridecanone
9	1ug	13	5	2-tridecanone
10	1ug	8	5	2-tridecanone
11	1ug	5	4	2-tridecanone
12	1ug	9	4	2-tridecanone
13	10ug	7	3	2-tridecanone
14	10ug	14	10	2-tridecanone
15	10ug	11	3	2-tridecanone
16	10ug	3	10	2-tridecanone
17	100ug	8	4	2-tridecanone
18	100ug	7	9	2-tridecanone
19	100ug	6	7	2-tridecanone
20	100ug	12	7	2-tridecanone
