accession	wf_average	species	color	wf_relative_survival	median	lower	upper	thrips_relative_survival
LA0407	73.6666666666667	habrochaites	#39B600	88.933601609658	3	1	3	21.4285714285714
LA0716	0	pennellii	#9590FF	0	5	5	NA	35.7142857142857
LA0735	82.6666666666667	neorickii	#00B0F6	99.7987927565392	5.5	5	NA	39.2857142857143
LA1278	82.8333333333333	peruvianum	#e76bf3	100	5	5	6	35.7142857142857
LA1364	77.5	huaylasense 	#00BF7D	93.5613682092555	14	12	19	100
LA1401	73.3333333333333	cheesmaniae	#D89000	88.5311871227364	4	3	6	28.5714285714286
LA1578	76	pimpinellifolium 	#FF62BC	91.7505030181087	7	6	9	50
LA1718	52.6666666666667	habrochaites	#39B600	63.5814889336016	6	5	NA	42.8571428571429
LA1777	24.1666666666667	habrochaites	#39B600	29.1750503018109	3	2	5	21.4285714285714
LA1840	81.1666666666667	chmielewskii	#A3A500	97.9879275653924	12	11	NA	85.7142857142857
LA1954	54.1666666666667	peruvianum	#e76bf3	65.3923541247485	11	6	NA	78.5714285714286
LA2133	77.8333333333333	neorickii	#00B0F6	93.9637826961771	6	6	NA	42.8571428571429
LA2172	72.3333333333333	arcanum	#F8766D	87.3239436619718	5	4	NA	35.7142857142857
LA2695	62.5	chmielewskii	#A3A500	75.4527162977867	5	5	7	35.7142857142857
LA4024	72.1666666666667	lycopersicum	#00BFC4	87.1227364185111	12	9	NA	85.7142857142857
LYC4	30.3333333333333	habrochaites	#39B600	36.6197183098592	1.5	1	3	10.7142857142857
MM	80.5	lycopersicum	#00BFC4	97.1830985915493	11	11	NA	78.5714285714286
PI127826	15.3	habrochaites	#39B600	18.4708249496982	6	6	NA	42.8571428571429
PI134418	46.6666666666667	habrochaites	#39B600	56.3380281690141	3	2	4	21.4285714285714
