accession	time	status
LA1954	7	1
LA1954	4	1
LA1954	4	1
LA1954	4	0
LA1954	4	1
LA1954	4	1
LA1954	5	0
LA1954	12	0
LA1954	11	1
LA1954	11	0
LA1954	4	1
LA1954	4	1
LA1954	4	1
LA1954	12	0
LA1954	4	0
LA1954	4	0
LA1954	4	1
LA1954	11	0
LA1954	4	0
LA1954	11	1
LA1954	4	0
LA1954	4	0
LA1954	6	1
LA1954	6	0
PI127826	6	0
PI127826	9	1
PI127826	6	0
PI127826	5	1
PI127826	6	1
PI127826	6	1
PI127826	6	0
PI127826	5	1
PI127826	5	1
PI127826	6	1
PI127826	5	0
PI127826	2	0
PI127826	5	1
PI127826	5	0
PI127826	5	1
PI127826	7	0
PI127826	5	0
PI127826	7	1
PI127826	5	1
PI127826	5	1
PI127826	6	1
PI127826	6	0
PI127826	2	0
PI127826	7	1
MM	6	0
MM	4	0
MM	7	0
MM	8	0
MM	1	0
MM	7	1
MM	7	1
MM	1	0
MM	1	0
MM	4	0
MM	5	0
MM	6	0
MM	1	0
MM	11	1
MM	4	0
MM	7	0
MM	7	0
MM	7	0
MM	11	1
MM	13	0
MM	6	1
MM	4	1
MM	7	0
MM	12	1
LA1840	5	0
LA1840	11	1
LA1840	12	1
LA1840	7	0
LA1840	11	1
LA1840	4	0
LA1840	10	0
LA1840	11	0
LA1840	5	0
LA1840	7	1
LA1840	6	0
LA1840	11	0
LA1840	8	1
LA1840	11	0
LA1840	4	0
LA1840	11	0
LA1840	1	0
LA1840	12	1
LA1840	6	0
LA1840	6	0
LA1840	5	1
LA1840	12	1
LA1840	11	0
LA1840	4	0
LA2172	4	0
LA2172	4	1
LA2172	4	0
LA2172	4	0
LA2172	4	0
LA2172	1	0
LA2172	1	0
LA2172	4	1
LA2172	1	0
LA2172	4	0
LA2172	4	1
LA2172	1	0
LA2172	4	1
LA2172	4	1
LA2172	5	1
LA2172	1	0
LA2172	1	0
LA2172	1	0
LA2172	4	0
LA2172	4	0
LA2172	4	1
LA2172	4	1
LA2172	4	0
LA2172	4	1
LA4024	13	0
LA4024	12	1
LA4024	19	1
LA4024	6	1
LA4024	15	1
LA4024	5	0
LA4024	8	1
LA4024	7	0
LA4024	12	1
LA4024	9	1
LA4024	13	1
LA4024	15	0
LA4024	12	0
LA4024	12	0
LA4024	5	1
LA4024	6	1
LA4024	5	1
LA4024	5	0
LA4024	6	1
LA4024	5	1
LA4024	12	1
LA4024	9	1
LA4024	12	1
LA4024	6	0
LA0716	1	0
LA0716	1	0
LA0716	2	0
LA0716	6	1
LA0716	1	0
LA0716	1	0
LA0716	5	1
LA0716	1	0
LA0716	5	1
LA0716	4	0
