"sample"	"wf"	"thrips"	"Glucose_2"	"Glucose_3"	"Glucose_4"	"Glucose_5"	"Sucrose_1"	"Sucrose_2"	"Sucrose_3"	"Sucrose_4"	"Sucrose_5"	"total_glucose"	"total_sucrose"
"MM"	"non-toxic"	"non-toxic"	0	11.591665428	70.068765298	44.35599415	1.264400859	1.451547408	8.3594658	371.798174668	126.739905169	126.016424876	509.613493904
"LA4024"	"non-toxic"	"non-toxic"	0	1.26066299	2.429888198	0	0	0.446886447	10.589788321	1.004578755	0	3.690551188	12.041253523
"LA1578"	"non-toxic"	"non-toxic"	0	9.078841998	350.77667221	321.9142054	0	0.897125963	21.280533814	1408.536947777	690.57456387	681.769719608	2121.289171424
"LA1278"	"non-toxic"	"toxic"	0	23.279710627	118.584926028	112.8176459	0.380555556	0.639418377	14.521886273	628.620405618	215.159936835	254.682282555	859.322202659
"LA1954"	"toxic"	"non-toxic"	0	6.368702645	300.50489411	241.4618455	0	3.161043898	104.294511815	1145.804122854	481.08609766	548.335442255	1734.345776227
"LA1401"	"non-toxic"	"toxic"	0	3.44452709	184.141824062	124.7818281	0	1.356713116	5.197105202	851.860804583	345.15234692	312.368179252	1203.566969821
"LA1364"	"non-toxic"	"non-toxic"	0	6.843611691	138.97566461	93.36702229	0.80878912	0.839090241	12.567268244	762.718152783	227.19760351	239.186298591	1004.130903898
"LA0735"	"non-toxic"	"non-toxic"	0	3.914944815	109.652073046	81.69273183	3.195861464	0.976133185	22.535759442	802.71800858	136.025062668	195.259749691	965.450825339
"LA2133"	"non-toxic"	"non-toxic"	0	7.892077528	115.560255324	92.08853651	0.516666667	0.139765611	69.579589673	508.233134064	177.06558702	215.540869362	755.534743035
"LA2695"	"toxic"	"toxic"	0	15.350480822	10.67568983	0	0.707119741	5.760291747	252.539315548	51.92179487	0	26.026170652	310.928521906
"LA1840"	"non-toxic"	"non-toxic"	0	4.055887281	308.552444552	233.284982	0	1.633475018	3.152100406	1383.583657622	677.13774717	545.893313833	2065.506980216
"LA0716"	"toxic"	"toxic"	134.91201489	19604.556339458	7.796105286	0.796530775	0.997301775	0	12585.74721496	219.538870766	3.606161841	19748.060990409	12809.889549342
"LA2172"	"non-toxic"	"toxic"	0	3.633217086	49.041495118	30.75036658	0	0.689321128	105.505768392	278.900354151	67.497744218	83.425078784	452.593187889
"PI134418"	"toxic"	"toxic"	14.82160474	1682.493465341	1.387988678	0	2.326086957	3.860857809	16259.785654225	1419.427304	0	1698.703058759	17685.399902991
"LYC4"	"toxic"	"toxic"	11.72995753	28505.376911973	3.461127881	2.536670354	0.307522124	0	45674.26557023	6272.514780447	5.533532353	28523.104667738	51952.621405154
"LA1718"	"toxic"	"non-toxic"	228.0155992	767.155292723	8.816756882	5.582970155	0.311080836	0.744670135	18306.251816519	8351.014933723	113.895564186	1009.57061896	26772.218065399
"LA0407"	"non-toxic"	"toxic"	5.541299728	889.404034714	2.528797582	0	0.592173269	0	14615.972120772	10047.53603249	0	897.474132024	24664.100326531
"LA1777"	"toxic"	"toxic"	84.50218591	6254.150037577	95.111678695	86.48478449	0	0.8391695	4317.833569663	82342.840486932	811.91683553	6520.248686672	87473.430061625
"PI127826"	"toxic"	"non-toxic"	174.77476051	5187.252754038	15.928206154	21.80678197	1.704458302	0	10304.971032334	7504.21754334	259.381510259	5399.762502672	18070.274544235
