sample	wf	thrips	5.541_67.0557	7.060_95.0168	9.272_93.0728	9.472_91.0566	9.653_91.0565	10.148_93.0730	10.581_105.0363	10.873_119.0877	11.056_91.0567	11.572_91.0564	11.844_91.0573	11.96_91.0560	12.373_91.0575	12.618_119.0885	12.761_91.0557	13.396_91.0579	13.604_105.0725_blank	14.572_91.0565	14.537_91.0571	14.844_105.0368	15.428_68.0279	15.562_91.0570	18.152_67.0559	18.702_97.0318	20.136_79.0560	20.614_58.0433	21.112_119.0858	21.260_109.1042	21.506_109.1042	21.673_129.0932	21.813_91.0566	22.444_161.1317	22.570_91.0567	22.891_161.1339	23.181_147.1173	23.223_93.0721	23.403_91.0566	23.681_91.0574	23.736_145.1019	23.997_91.0562	24.220_91.0566	24.291_119.0873	24.374_105.0720	24.442_95.0877	24.471_105.0723	24.500_81.0718	24.550_94.0801	24.602_117.0716	24.619_105.0723	24.707_93.0725	24.733_105.0717	24.814_105.0723	24.806_119.8074	24.843_161.1344	24.859_91.0567	25.020_145.1032	25.036_159.1160	25.153_119.0864	25.211_105.0732	25.356_105.0726	25.421_161.1340	25.421_58.0434	25.421_119.0869	25.508_105.0726	25.516_145.0981	25.533_105.0721	25.585_105.0719	25.641_119.0875	25.706_91.0568	25.779_97.0322	25.842_161.1316	25.911_105.0725	25.968_119.0881	26.045_91.0563	26.164_119.0865	26.200_105.0726	26.227_95.0152	26.529_131.0872	26.595_91.0568	26.689_109.1032	26.803_111.0836	26.833_81.0727	27.083_97.0317	27.996_91.0565	28.382_97.0323	30.160_91.0569	32.503_159.8606
S lyc MM	86.5	11	0	0	0	0	88210.77165	0	0	32617.13711	0	0	190468.8352	106385.7735	239889.5649	483784.3882	1089088.398	78769.83387	480685.2022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22997.3363	0	0	0	0	0	0	0	238215.9549	0	0	0	0	0	0	0	0	17352.68198	75527.91274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S per LA1278	84	5	234383.7865	0	0	0	131824.19	0	800290.0203	0	55971.00761	0	0	0	0	328258.6796	118335.5136	51942.24025	292834.5398	0	0	396950.1194	0	0	0	0	0	0	0	0	0	0	0	67626.84338	9412.184258	0	12334.61497	0	0	0	0	575576.5921	21198.81462	0	0	0	92508.75867	0	0	0	116656.2617	340948.9016	0	0	0	0	0	0	0	0	0	142779.5238	79985.06253	0	0	31452.64717	0	14824.96988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9153.957334	0	0	0	0	0	0
S hua LA1364	76.5	14	0	0	104528.752	45335.4665	27304.44693	90430.09761	0	0	0	624085.817	77649.28449	5708874.274	2234296.11	65454.01294	2965536.638	2413140.338	157328.225	28235.53422	82400.08275	0	0	0	111389.6615	0	4238.271548	0	0	0	0	0	0	25381.57076	4516.727687	0	12397.24207	0	0	0	0	106094.2809	8568.258493	0	0	0	7075.717887	0	0	0	40990.51484	80871.24022	0	43386.74525	0	0	0	0	0	0	0	41707.36764	44213.06978	0	0	7297.317802	0	4367.636568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5561.18023	0	0	0	0	0	0
S che LA1401	77.5	4	0	0	0	0	457891.1564	0	32459.72293	0	34284.95912	0	0	0	0	45015.36132	21989.54384	81197.73977	273536.99	0	0	8957.993007	0	0	0	0	0	0	0	0	0	0	0	25210.80391	0	0	0	0	0	0	0	208299.1863	0	0	0	0	0	0	0	0	0	89948.67006	0	0	0	0	0	0	0	0	0	0	10731.25164	0	0	0	0	25059.06218	0	0	0	0	0	0	24707.88847	0	0	13511.92641	0	0	0	0	0	0	0	0	0	0	0
S pim LA1578	79.5	7	12809.66965	0	0	0	221391.2852	0	0	24737.81096	0	0	190845.8714	368678.216	243950.1592	317033.729	1204559.149	45966.9006	313996.6421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41352.76325	0	0	8636.741702	0	0	0	0	446064.1617	14549.6373	0	0	0	12715.55954	0	0	0	37529.61572	169286.5032	0	0	0	0	0	0	0	0	0	32839.08215	35568.27542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9495.49648	0	0	0	0	0	0
S hab LA1718	60	6	0	0	0	0	436434.762	0	0	0	0	0	2365580.126	1618100.67	1021206.602	748766.0087	5001489.15	50842.90927	481450.944	34775.86388	14040.59034	24997.36937	0	0	0	0	0	12202.83842	0	0	0	0	13070.49097	0	0	248271.0029	0	0	0	0	0	46118.25823	0	0	0	0	17614.76169	0	0	0	17336.58159	63880.84873	0	0	44851.79945	0	17651.46224	0	24283.13623	0	0	73432.96987	98377.21908	0	0	169804.9915	0	270044.4492	319351.0184	10659.46344	10239.01489	0	58754.53478	24628.87436	329976.5429	0	74322.48919	77155.30799	0	0	121073.917	0	0	15089.64365	0	0	0	0	0
S hab LA1777	23.5	3	0	0	0	0	426803.1802	0	0	0	0	0	0	0	0	0	0	0	416063.0685	0	0	0	0	0	0	0	0	0	0	6339505.139	6398753.835	0	0	0	0	0	0	0	0	0	0	5896550.597	0	231681.3868	0	0	146856.8919	0	1889092.103	0	761942.5449	0	0	0	1265565.015	210484.8454	400184.6606	0	0	0	0	169867.7016	7727833.431	0	0	1732812.525	0	1299897.088	0	0	567885.4068	0	0	473960.4299	699333.3706	0	284382.4469	5170705.12	0	0	2579383.388	0	0	0	0	0	0	811214.9992	0
S chm LA1840	78	12	0	0	13354.2292	7006.160718	138245.8896	18838.7462	0	0	0	34923.75849	26063.44086	304804.0653	60742.84722	61251.12958	223605.1786	172372.1115	175179.7634	4612.871657	9690.828363	0	0	0	7290.690661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18230.57543	0	0	0	0	0	0	0	0	0	3278.00908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S per LA1954	63.5	11	18698.82596	0	0	0	250109.3763	0	0	0	36998.87051	0	41441.4174	32627.97735	12082.99012	140948.0449	21859.34588	36621.52569	394795.9889	0	8478.263931	0	0	0	0	0	0	0	0	0	0	0	0	13428.25571	0	0	0	0	0	0	0	128136.9544	10444.92185	0	0	0	0	25465.69874	0	0	8910.961208	52553.19893	0	0	0	0	0	0	0	0	0	14373.35765	0	0	0	0	0	0	0	0	10072.41179	0	0	0	0	0	12767.82302	0	0	0	0	0	0	0	0	0	0	0	0
S neo LA2133	80	6	0	0	0	0	186481.8097	0	0	0	0	0	193526.5659	162523.7808	106642.7484	123872.9562	390997.053	29857.93667	251579.8111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115752.6752	0	0	0	0	0	0	0	0	0	43098.62948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
