"sample"	"wf"	"thrips"	"acyclic hydrocarbon"	"aromatic hydrocarbon"	"cyclic hydrocarbon"	"methylketone"	"monoterpene"	"sesquiterpene"	"total_volatiles"
"MM"	"non-toxic"	"non-toxic"	0	0	0	0	2309214.702375	354093.88586	2663308.588235
"LA1364"	"non-toxic"	"non-toxic"	0	0	0	0	14582898.78816	432428.8701775	15015327.6583375
"LA1578"	"non-toxic"	"non-toxic"	12809.669652	0	0	0	2617163.121078	808037.836456	3438010.627186
"LA1718"	"toxic"	"non-toxic"	0	24997.36936	0	12202.83842	11291236.68131	2145988.778178	13474425.667268
"LA1840"	"non-toxic"	"non-toxic"	0	0	0	0	1082801.947964	21508.584506	1104310.53247
"LA1954"	"toxic"	"non-toxic"	18698.825965	0	0	0	581167.81205	276153.583315	876020.22133
"LA2133"	"non-toxic"	"non-toxic"	0	0	0	0	1193902.85053667	158851.30463	1352754.15516667
"LA4024"	"non-toxic"	"non-toxic"	0	22610.82373	0	0	13922334.19003	1422697.0942	15367642.10796
"LA0735"	"non-toxic"	"non-toxic"	0	0	0	0	1001256.472748	180714.064412	1181970.53716
"PI127826"	"toxic"	"non-toxic"	0	1410126.81975	0	0	8827531.69	220802523.79425	285208291.71625
"LA1278"	"non-toxic"	"toxic"	234383.78645	396950.1194	0	0	1486621.6514325	1514459.1321	3632414.6893825
"LA1401"	"non-toxic"	"toxic"	0	40932.107655	0	0	660135.5786875	479109.7010975	1180177.38744
"LA1777"	"toxic"	"toxic"	0	0	0	0	6825557.01555	32319633.95245	45484696.10775
"LA2172"	"non-toxic"	"toxic"	0	0	0	0	579797.6286975	0	0
"LA2695"	"toxic"	"toxic"	0	0	0	0	715785.815502043	10.927271124	715796.742773167
"LA0407"	"non-toxic"	"toxic"	0	0	0	12657055.393	1656520.613	0	14313576.006
"LA0716"	"toxic"	"toxic"	186556.4112625	0	49629.1903625	0	447009.63819	74755.0842575	896937.2202275
"PI134418"	"toxic"	"toxic"	0	0	0	1002150.9964	691528.6518	42912.3360366667	1736591.98423667
"LYC4"	"toxic"	"toxic"	0	0	0	185463741.046667	0	3331446.33533333	188795187.382
