accession	10.148_93.0730	10.581_105.0363	10.873_119.0877	11.056_91.0567	11.572_91.0564	11.844_91.0573	11.96_91.0560	12.373_91.0575	12.618_119.0885	12.761_91.0557	13.396_91.0579	14.572_91.0565	14.844_105.0368	15.428_68.0279	15.562_91.0570	18.152_67.0559	18.702_97.0318	20.136_79.0560	20.614_58.0433	21.112_119.0858	21.260_109.1042	21.506_109.1042	21.673_129.0932	21.813_91.0566	22.444_161.1317	22.570_91.0567	22.891_161.1339	23.181_147.1173	23.223_93.0721	23.403_91.0566	23.681_91.0574	23.736_145.1019	23.997_91.0562	24.220_91.0566	24.291_119.0873	24.374_105.0720	24.442_95.0877	24.471_105.0723	24.500_81.0718	24.550_94.0801	24.602_117.0716	24.619_105.0723	24.707_93.0725	24.733_105.0717	24.806_119.8074	24.814_105.0723	24.843_161.1344	24.859_91.0567	25.020_145.1032	25.036_159.1160	25.153_119.0864	25.211_105.0732	25.356_105.0726	25.421_119.0869	25.421_161.1340	25.421_58.0434	25.508_105.0726	25.516_145.0981	25.533_105.0721	25.585_105.0719	25.641_119.0875	25.706_91.0568	25.779_97.0322	25.842_161.1316	25.911_105.0725	25.968_119.0881	26.045_91.0563	26.164_119.0865	26.200_105.0726	26.227_95.0152	26.529_131.0872	26.595_91.0568	26.689_109.1032	26.803_111.0836	26.833_81.0727	27.083_97.0317	27.996_91.0565	28.382_97.0323	30.160_91.0569	32.503_159.8606	5.541_67.0557	7.060_95.0168	9.272_93.0728	9.472_91.0566	9.653_91.0565
LA0407	0	0	0	0	0	0	0	0	1318462.9545999998	0	0	0	0	0	0	0	0	0	5400626.8218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7256428.5712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338057.65839999996
LA0716	0	0	0	0	0	50935.7978275	33651.246305	0	183297.5005	61965.48744	5612.628055	0	0	49629.1903625	0	0	59149.543764999995	0	0	0	0	0	47168.06341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43578.619315	0	62487.585192499995	0	0	0	0	0	0	41804.3737325	0	0	0	0	0	31176.4649425	0	80238.8040875	0	30416.02323	0	66766.4991925	0	0	49059.392869999996
LA0735	0	0	0	0	0	227083.142268	134535.297746	60006.531274	112578.241822	343492.74064	53003.133928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6928.348416000001	0	0	0	0	28429.105058	0	0	0	0	21336.847148	0	0	0	20015.745764	6087.091886	0	0	0	0	0	0	0	0	0	31376.904802	0	40653.233006	0	0	0	0	0	0	0	0	0	0	6042.62547	0	0	19844.162862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70557.38507
LA1278	0	800290.02043	0	55971.007615	0	0	0	0	328258.67957499996	118335.513575	51942.240255000004	0	396950.11939999997	0	0	0	0	0	0	0	0	0	0	0	67626.8434025	9412.1842575	0	12334.6149675	0	0	0	0	575576.592225	21198.814622500002	0	0	0	92508.758655	0	0	0	116656.26165	340948.9015875	0	0	0	0	0	0	0	0	0	142779.52382499998	0	79985.0625225	0	31452.6471725	0	14824.9698775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9153.957335	0	0	0	0	0	0	234383.78645	0	0	0	131824.1899825
LA1364	90430.0976075	0	0	0	624085.8171	77649.28448	5708874.274975	2234296.1095875	65454.012930000004	2965536.637925	2413140.338075	28235.5342175	0	0	0	111389.66149999999	0	4238.2715475	0	0	0	0	0	0	25381.5707575	4516.7276875	0	12397.242072500001	0	0	0	0	106094.280925	8568.2584925	0	0	0	7075.7178875	0	0	0	40990.5148475	80871.2402225	0	43386.7452525	0	0	0	0	0	0	0	41707.3676375	0	44213.069795	0	7297.3178025	0	4367.6365675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5561.18023	0	0	0	0	0	0	0	0	104528.7520225	45335.4665025	27304.446932500003
LA1401	0	24344.7922	0	25713.71935	0	0	0	0	86883.6401925	33924.604895	99046.296375	0	40932.107655	0	0	0	0	0	0	0	0	0	0	0	35697.2763675	0	0	0	0	0	0	0	235058.7677475	0	0	0	0	0	0	0	0	0	118859.3282775	0	0	0	0	0	0	0	0	0	14939.4282575	0	27095.74265	0	0	0	18794.2966375	0	0	0	0	0	0	18530.916355	0	0	10133.944805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	390222.525675
LA1578	0	0	24737.810964	0	0	190845.871376	368678.21594	243950.15916	317033.72901999997	1204559.1488	45966.9006	0	0	0	0	0	0	0	0	0	0	0	0	0	41352.763252	0	0	8636.741702	0	0	0	0	446064.16168	14549.637302	0	0	0	12715.55954	0	0	0	37529.61572	169286.5032	0	0	0	0	0	0	0	0	0	32839.082160000005	0	35568.275420000005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9495.49648	0	0	0	0	0	0	12809.669652	0	0	0	221391.285218
LA1718	0	0	0	0	0	2365580.1251000003	1618100.669816	1021206.60182	748766.00874	5001489.150474	50842.909264	34775.863880000004	24997.36936	0	0	0	0	0	12202.83842	0	0	0	0	13070.490966000001	0	0	248271.00286	0	0	0	0	0	46118.258226	0	0	0	0	17614.761692	0	0	0	17336.581586	63880.848732	0	0	44851.79945599999	0	17651.462242	0	24283.13622	0	0	73432.96986	0	98377.21907199999	0	169804.99148199998	0	270044.44916	319351.018386	10659.463442	10239.01489	0	58754.53478	24628.874359999998	329976.54294	0	74322.4892	77155.307978	0	0	121073.91699999999	0	0	15089.643648000001	0	0	0	0	0	0	0	0	0	436434.76188
LA1777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6339505.13975	6398753.83525	0	0	0	0	0	0	0	0	0	0	5896550.597250001	0	231681.386775	0	0	146856.891925	0	1889092.1027499998	0	761942.544975	0	0	0	1265565.01535	210484.845425	400184.660575	0	0	0	0	169867.701575	0	7727833.43025	0	1732812.5255	0	1299897.088	0	0	567885.40675	0	0	473960.429925	699333.370475	0	284382.447	5170705.120225	0	0	2579383.3885	0	0	0	0	0	0	811214.999225	0	0	0	0	0	426803.1803
LA1840	18838.7462	0	0	0	34923.758495999995	26063.44086	304804.065268	60742.847216	61251.129576	223605.178636	172372.111492	4612.871658	0	0	0	7290.69066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18230.575426	0	0	0	0	0	0	0	0	0	3278.00908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13354.229204	7006.160718000001	138245.889616
LA1954	0	0	0	36998.870525	0	41441.4174	32627.97735	12082.990115	140948.0448525	21859.3458775	36621.5256875	0	0	0	0	0	0	0	0	0	0	0	0	0	13428.2557075	0	0	0	0	0	0	0	128136.9544	10444.921855	0	0	0	0	25465.69875	0	0	8910.9612075	52553.198925	0	0	0	0	0	0	0	0	0	14373.357655	0	0	0	0	0	0	0	0	10072.4117925	0	0	0	0	0	12767.8230225	0	0	0	0	0	0	0	0	0	0	0	0	18698.825965	0	0	0	250109.3763125
LA2133	0	0	0	0	0	193526.5659	162523.78080666668	106642.74835666666	123872.95614333333	390997.05299	29857.936673333334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115752.67515	0	0	0	0	0	0	0	0	0	43098.62948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186481.80966666667
LA2172	0	0	0	155164.2914625	0	29668.755292499998	0	0	124699.17697500001	71991.599555	10218.8455025	0	0	0	0	0	0	0	0	0	0	0	0	0	76682.08992500001	19574.6431	0	71650.7629475	0	7423.6803475	10358.623740000001	0	889710.7111249999	23786.8254975	0	0	0	144169.1928825	0	0	0	144893.5017975	234855.7479925	0	0	8136.9455824999995	0	0	0	11061.037082500001	0	54801.382545	136468.208065	0	422019.044175	0	23257.1122925	0	7642.69125	15586.275855	0	60810.63605	0	25657.416924999998	0	31247.26353	0	6892.51418	55286.447335	0	0	6149.07636	0	20898.898797499998	0	0	0	0	0	0	0	0	0	0	188054.95991
LA2695	0	0	0	0	0	89058.62306666667	1.9576665996666665	0	327379.34748009	91624.21888329666	27012.555373333333	0	0	0	0	0	0	0	0	0	0	0	0	0	1.672932068	0	0	0	0	0	0	0	6.287187406666667	0	0	0	0	0	0	0	0	0	2.967151649333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180709.11303205666
