metabolite	metabolite_class
5.541_67.0557 	other_carbohydrate
7.060_95.0168 	other_carbohydrate
9.272_93.0728 	monoterpene
9.472_91.0566 	monoterpene
9.653_91.0565 	monoterpene
10.148_93.0730 	monoterpene
10.581_105.0363 	monoterpene
10.873_119.0877 	monoterpene
11.056_91.0567 	monoterpene
11.572_91.0564 	monoterpene
11.844_91.0573 	monoterpene
11.96_91.0560 	monoterpene
12.373_91.0575 	monoterpene
12.618_119.0885 	monoterpene
12.761_91.0557 	monoterpene
13.396_91.0579 	monoterpene
13.604_105.0725_blank 	monoterpene
14.572_91.0565 	monoterpene
14.537_91.0571 	monoterpene
14.844_105.0368 	monoterpene
15.428_68.0279 	other_carbohydrate
15.562_91.0570 	monoterpene
18.152_67.0559 	other_carbohydrate
18.702_97.0318 	other_carbohydrate
20.136_79.0560 	other_carbohydrate
20.614_58.0433 	methylketon
21.112_119.0858 	sesquiterpene
21.260_109.1042 	sesquiterpene
21.506_109.1042 	sesquiterpene
21.673_129.0932 	other_carbohydrate
21.813_91.0566 	sesquiterpene
22.444_161.1317 	sesquiterpene
22.570_91.0567 	sesquiterpene
22.891_161.1339 	sesquiterpene
23.181_147.1173 	other_carbohydrate
23.223_93.0721 	sesquiterpene
23.403_91.0566 	sesquiterpene
23.681_91.0574 	sesquiterpene
23.736_145.1019 	sesquiterpene
23.997_91.0562 	sesquiterpene
24.220_91.0566 	sesquiterpene
24.291_119.0873 	sesquiterpene
24.374_105.0720 	sesquiterpene
24.442_95.0877 	other_carbohydrate
24.471_105.0723 	sesquiterpene
24.500_81.0718 	other_carbohydrate
24.550_94.0801 	sesquiterpene
24.602_117.0716 	other_carbohydrate
24.619_105.0723 	sesquiterpene
24.707_93.0725 	sesquiterpene
24.733_105.0717 	sesquiterpene
24.814_105.0723 	sesquiterpene
24.806_119.8074 	sesquiterpene
24.843_161.1344 	sesquiterpene
24.859_91.0567 	sesquiterpene
25.020_145.1032 	sesquiterpene
25.036_159.1160 	sesquiterpene
25.153_119.0864 	sesquiterpene
25.211_105.0732 	sesquiterpene
25.356_105.0726 	sesquiterpene
25.421_161.1340 	sesquiterpene
25.421_58.0434 	methylketon
25.421_119.0869 	sesquiterpene
25.508_105.0726 	sesquiterpene
25.516_145.0981 	sesquiterpene
25.533_105.0721 	sesquiterpene
25.585_105.0719 	sesquiterpene
25.641_119.0875 	sesquiterpene
25.706_91.0568 	sesquiterpene
25.779_97.0322 	other_carbohydrate
25.842_161.1316 	sesquiterpene
25.911_105.0725 	sesquiterpene
25.968_119.0881 	sesquiterpene
26.045_91.0563 	sesquiterpene
26.164_119.0865 	sesquiterpene
26.200_105.0726 	sesquiterpene
26.227_95.0152 	sesquiterpene
26.529_131.0872 	other_carbohydrate
26.595_91.0568 	sesquiterpene
26.689_109.1032 	sesquiterpene
26.803_111.0836 	other_carbohydrate
26.833_81.0727 	other_carbohydrate
27.083_97.0317 	sesquiterpene
27.996_91.0565 	sesquiterpene
28.382_97.0323 	other_carbohydrate
30.160_91.0569 	sesquiterpene
32.503_159.8606 	other_carbohydrate
