sample,accession,G3:10 ,G2:4 ,G3:10-2 ,G3:11 ,S3:15 ,G3:11-2 ,S4:16 ,G2:5 ,Unknown ,G3:13 ,G3:14 ,G3:6 ,S4:17-2 ,S4:17 ,unknown ,S3:17-2 ,G3:7 ,G3:15-2 ,G3:15 ,S3:12 ,S4:23 ,S4:19-2 ,unknown-1 ,S4:19 ,S3:19 ,S3:18 ,S3:18-2 ,G3:16 ,G3:16-2 ,S3:19-2 ,G3:19 ,S4:20 ,S4:20-2 ,G3:19-2 ,Unknown-2 ,S4:21-3 ,S3:20-2 ,S4:21-2 ,S3:20-3 ,S3:20 ,S4:20-3 ,G3:18 ,S4:21 ,S4:21-4 ,S5:22 ,S4:22-2 ,S4:22 ,S3:21 ,S3:21-3 ,S3:21-2 ,S4:22-3 ,G4:21-3,S5:23 ,G4:21-2 ,S5:23-2 ,G4:21 ,S3:22 ,S5:24 ,S3:22-2 ,S4:23-2 ,S3:22-3 ,G4:22 ,G4:22-3,S3:22-4 ,S3:23 ,S4:24 ,G4:24 ,S2:22 ,G4:32 ,G4:24-2 ,S5:25 ,G4:23 ,G5:25 ,G4:23-2 ,G3:20-2 ,G3:20 ,S3:24 ,G3:21-2 ,G3:21 ,S1:27 ,G3:22 ,G3:22-3 ,G3:22-2 
67,LA0407,0,0,0,0,278.4034335,4.815450644,0,11.94849785,59.22746781,0,0,0,0,0,0,0,0,0,37.0944206,0,0,105.6051502,0,106.0429185,0,0,0,0,0,22.86695279,0,9751.167382,107.3519313,41.09871245,189.2188841,1.175965665,0,165.2961373,199.2703863,3599.536481,3599.536481,0,0,0,0,0,0,835.5321888,856.8154506,923.27897,0,0,0,0,0,0,393.72103,0,4932.957082,0,10943.14163,0,0,0,0,0,0,0,2.184549356,0,0,0,0,0,0,137.0300429,94.48497854,28.89270386,27.7167382,0,0,585.8755365,436.639485
68,LA0407,0,0,0,0,579.7298578,5.734597156,0,0,54.99526066,0,0,0,0,0,0,0,0,0,5.298578199,0,0,172.1184834,0,146.0094787,0,0,0,0,0,26.57345972,0,12361.66351,209.6872038,56.73459716,161.4123223,0,0,256.8151659,196.2369668,3945.440758,4354.43128,0,0,0,0,0,0,696.0947867,1169.872038,1169.872038,0,0,0,0,0,0,856.9052133,0,6186.170616,0,9333.649289,0,0,0,0,0,0,0,3.938388626,0,0,0,0,0,0,152.7630332,93.86729858,39.35545024,25.7535545,2.82464455,0,319.1658768,334.3601896
109,LA0407,0,0,0,0,51.14516129,0,0,0,36.20430108,0,0,0,0,0,0,0,0,0,0,0,0,24.80107527,0,22,0,0,0,0,0,0,0,1947.456989,10.59139785,0,439.8010753,0,0,14.59677419,5.784946237,106.9408602,106.9408602,0,0,0,0,0,0,101.0483871,116.1129032,105.0053763,0,0,0,0,0,0,85.96774194,0,741.5806452,0,4676.05914,0,0,2.440860215,0,0,0,0,0.548387097,0,0,0,0,0,0,6.903225806,51.02688172,2.494623656,2.494623656,0,0,167.8225806,136.1397849
110,LA0407,0,0,0,0,43.95338983,0,0,4.338983051,33.8220339,0,0,0,0,0,0,0,0,0,4.13559322,0,2.851694915,23.95762712,0,22.18220339,0,0,0,0,0,0,0,2884.813559,38.77542373,7.745762712,186.2118644,0,0,16.78813559,23.80932203,918.8559322,699.5889831,0,0,0,0,0,0,201.4618644,226.9661017,193.9830508,0,0,0,0,0,0,307.3177966,0,1859.461864,0,5673.932203,0,0,0.25,10.55508475,0,0,0,0.292372881,0,0,0,0,0,0,35.16525424,34.99152542,5.779661017,5.779661017,0,0,280.559322,234.059322
151,LA0407,0,0,0,0,233.7781955,4.206766917,0,3.571428571,17.73308271,0,0,0,0,0,0,0,0,0,23.63909774,0,4.894736842,90.91353383,0,0,0,0,0,0,0,0,0,7609.973684,167.5112782,5.406015038,430.7406015,0,0,101.6616541,0,484.3082707,484.3082707,0,0,0,0,0,0,273.0338346,319.981203,271.2969925,0,0,0,0,0,0,671.962406,0,1086.315789,0,3190.281955,0,0,0,0,0,0,0,2.530075188,0,0,0,0,0,0,46.54511278,138.443609,28.87218045,21.78947368,0,0,226.8533835,419.1729323
152,LA0407,0,0,0,0,326.8271605,7.203703704,0,13.38888889,59.27777778,0,0,0,0,0,0,0,0,0,44.77160494,0,20.14814815,69.62345679,0,0,0,0,0,0,0,10.48148148,0,9905.006173,155.0432099,47.66049383,740.8271605,0,0,149.5123457,0,4403.444444,4403.444444,0,0,0,0,0,0,432.8024691,705.9691358,560.5555556,0,0,0,0,0,0,1578.160494,0,812.9876543,0,9235.006173,0,0,0,0,0,0,0,5.679012346,0,0,0,0,0,0,123.4074074,89.81481481,26.39506173,20.18518519,0.728395062,0,462.0308642,700.8765432
69,LA0716,0,110.1160714,0,7.294642857,0,14.22767857,137.0669643,0,2.883928571,29.52678571,0,0,29.63839286,87.90625,14499.52232,43.92410714,0,0,2918.669643,0,0,0,354.8303571,0,0,6247.607143,875.9598214,814.8214286,3774.227679,0,2547.366071,11.64285714,3.339285714,906.3839286,0,0,1082.75,3.401785714,606.7946429,0,0,1812.723214,0,0,0,0,2.40625,129.2053571,2287.973214,2151.147321,3.116071429,0,0,0,0,0,22.21428571,0,153.5,11.56696429,120.2455357,0,0,0,15.42857143,0,0,0,0,0,0,0,0.392857143,0,0,0.504464286,0,15139.48661,14.45089286,0,2,20.59375,1.392857143
70,LA0716,0,67.77617329,2.570397112,10.80144404,0,12.66425993,126.9061372,17.6534296,2.292418773,21.04693141,0,0,0,104.1732852,7790.425993,49.22021661,0,0,3228.364621,0,0,0,244.3898917,0,0,5328.267148,1425.368231,844.0216606,2933.765343,0,2331.812274,32.32490975,12.14440433,1220.808664,0,0,320.9097473,13.90613718,504.1805054,0,0,1946.465704,0,0,0,0,10.76173285,135.6931408,2832.584838,2832.584838,2.23465704,0,0,0,0,0,41.71841155,0,261.9891697,6.335740072,176.967509,9.55234657,0,0,17.79422383,0,0,0,7.288808664,0,3.541516245,0,0.184115523,0,0,11.67870036,0,14318.1769,34.84115523,0,1.913357401,26.71119134,0.63898917
111,LA0716,0,167.49,6.295,6.875,0,13.695,166.24,49.01,14.515,43.02,0,0,42.27,79.31,7597.05,49.8,0,0,4146.02,0,0,9.875,427.065,0,0,7908.865,1517.915,1820.78,6307.37,61.29,1773.88,30.575,0,1074.11,0,0,1040.595,0,785.03,0,0,2616.03,0,0,0,0,2.19,219.375,2743.045,2743.045,0,0,0,0,0.005,0,14.185,0,165.035,6.335,409.925,4.94,0,0,22.99,3.04,0,0,6.475,0,1.64,0,1.64,0,0,5.47,0,16546.94,26.38,0,2.745,0,0
112,LA0716,0,218.0641509,2.490566038,6.732075472,0,6.501886792,100.2943396,5.362264151,3.064150943,8.728301887,0,0,18.28301887,34.78113208,10829.88302,32.37358491,0,0,1841.569811,0,0,0,206.5132075,0,0,6041.709434,1307.34717,743.6867925,0,0,1405.264151,7.464150943,5.328301887,1012.030189,0,0,801.4716981,0,430.309434,0,0,1614.732075,0,0,0,0,0,69.21132075,2309.577358,2309.577358,1.656603774,0,0,0,0,0,2.59245283,0,141.3509434,4.271698113,215.4226415,4.664150943,0,0,5.094339623,0.403773585,0,0,9.524528302,0,0,0,0,0,0,3,0,12592.64528,14.6,0,0,31.66415094,0
