genotype	accession	plant	leaf.side	leaf.disc	name	date	glandular	non.glandular	typeVI	typeIandIV	typeVII	all
S. lyc MM	MM	5	adaxial	1	Aleksandra	31-jan	28	332	28	0	0	360
S. lyc MM	MM	5	adaxial	2	Aleksandra	31-jan	35	284	35	0	0	319
S. lyc MM	MM	5	abaxial	1	Aleksandra	31-jan	8	364	8	0	0	372
S. lyc MM	MM	5	abaxial	2	Aleksandra	31-jan	15	344	15	0	0	359
S. lyc MM	MM	3	adaxial	1	Ruy	01-feb	11	262	11	0	0	273
S. lyc MM	MM	3	adaxial	2	Ruy	01-feb	51	240	51	0	0	291
S. lyc MM	MM	3	abaxial	1	Ruy	01-feb	63	532	63	0	0	595
S. lyc MM	MM	3	abaxial	2	Ruy	01-feb	57	496	57	0	0	553
S. lyc MM	MM	4	adaxial	1	Aleksandra	01-feb	17	127	17	0	0	144
S. lyc MM	MM	4	adaxial	2	Aleksandra	01-feb	24	162	24	0	0	186
S. lyc MM	MM	4	abaxial	1	Aleksandra	01-feb	32	207	32	0	0	239
S. lyc MM	MM	4	abaxial	2	Aleksandra	01-feb	48	162	48	0	0	210
S. lyc MM	MM	1	adaxial	1	Sanne	02-feb	39	223	39	0	0	262
S. lyc MM	MM	1	adaxial	2	Sanne	02-feb	34	171	34	0	0	205
S. lyc MM	MM	1	abaxial	1	Sanne	02-feb	53	182	53	0	0	235
S. lyc MM	MM	1	abaxial	2	Sanne	02-feb	51	173	51	0	0	224
S. lyc MM	MM	2	adaxial	1	Petra	02-feb	39	192	39	0	0	231
S. lyc MM	MM	2	adaxial	2	Petra	02-feb	13	251	7	0	6	264
S. lyc MM	MM	2	abaxial	1	Petra	02-feb	47	489	47	0	0	536
S. lyc MM	MM	2	abaxial	2	Petra	02-feb	111	471	111	0	0	582
S. hua LA1364	LA1364	2	adaxial	1	Marc	30-jan	8	37	8	0	0	45
S. hua LA1364	LA1364	2	adaxial	2	Marc	30-jan	4	38	4	0	0	42
S. hua LA1364	LA1364	2	abaxial	1	Marc	30-jan	1	68	1	0	0	69
S. hua LA1364	LA1364	2	abaxial	2	Marc	30-jan	1	64	1	0	0	65
S. hua LA1364	LA1364	4	adaxial	1	Aleksandra	30-jan	3	41	3	0	0	44
S. hua LA1364	LA1364	4	adaxial	2	Aleksandra	30-jan	3	51	3	0	0	54
S. hua LA1364	LA1364	4	abaxial	1	Aleksandra	30-jan	3	113	3	0	0	116
S. hua LA1364	LA1364	4	abaxial	2	Aleksandra	30-jan	4	91	4	0	0	95
S. hua LA1364	LA1364	5	adaxial	1	Aleksandra	31-jan	11	77	10	1	0	88
S. hua LA1364	LA1364	5	adaxial	2	Aleksandra	31-jan	7	85	7	0	0	92
S. hua LA1364	LA1364	5	abaxial	1	Aleksandra	31-jan	7	197	6	1	0	204
S. hua LA1364	LA1364	5	abaxial	2	Aleksandra	31-jan	12	228	12	0	0	240
S. hua LA1364	LA1364	1	adaxial	1	Sanne	02-feb	3	76	3	0	0	79
S. hua LA1364	LA1364	1	adaxial	2	Sanne	02-feb	0	53	0	0	0	53
S. hua LA1364	LA1364	1	abaxial	1	Sanne	02-feb	5	132	5	0	0	137
S. hua LA1364	LA1364	1	abaxial	2	Sanne	02-feb	8	93	8	0	0	101
S. hua LA1364	LA1364	3	adaxial	1	Sanne	07-feb	11	56	4	0	7	67
S. hua LA1364	LA1364	3	adaxial	2	Sanne	07-feb	13	63	6	0	7	76
S. hua LA1364	LA1364	3	abaxial	1	Sanne	07-feb	8	334	6	0	2	342
S. hua LA1364	LA1364	3	abaxial	2	Sanne	07-feb	3	290	3	0	0	293
S. che LA1401	LA1401	1	adaxial	1	Michelle	24-Mar	5	43	5	0	0	48
S. che LA1401	LA1401	1	adaxial	2	Lisa	24-Mar	3	34	1	2	0	37
S. che LA1401	LA1401	1	abaxial	1	Michelle	24-Mar	2	255	2	0	0	257
S. che LA1401	LA1401	1	abaxial	2	Lisa	24-Mar	1	284	0	1	0	285
S. che LA1401	LA1401	2	adaxial	1	Sanne	27-Mar	6	42	6	0	0	48
