sample	wf	thrips	G2:C4 	G2:C5 	G3:C6 	G3:C7 	G3:C10 	G3:C10_2 	G3:C11 	G3:C11_2 	G3:C13 	G3:C14 	G3:C15 	G3:C15_2 	G3:C16 	G3:C16_2 	G3:C18 	G3:C19 	G3:C19_2 	G3:C20 	G3:C20_2 	G3:C21_2 	G3:C21 	G3:C22 	G3:C22_3 	G3:C22_2 	G4:21 	G4:C21 	G4:C21_2 	G4:22 	G4:C22 	G4:C23 	G4:C23_2 	G4:C24 	G4:C24_2 	G4:C32 	G5:C25 	S1:C27 	S2:C22 	S3:C12 	S3:C15 	S3:C17_2 	S3:C18 	S3:C18_2 	S3:C19 	S3:C19_2 	S3:C20 	S3:C20_2 	S3:C20_3 	S3:C21 	S3:C21_3 	S3:C21_2 	S3:C22 	S3:C22_2 	S3:C22_3 	S3:C23 	S3:C24 	S4:C16 	S4:C17 	S4:C17_2 	S4:C19 	S4:C19_2 	S4:C20 	S4:C20_2 	S4:C20_3 	S4:C21 	S4:C21_2 	S4:C21_3 	S4:C21_4 	S4:C22 	S4:C22_2 	S4:C22_3 	S4:C23_2 	S4:C24 	S5:C23 	S5:C23_2 	S5:C24 	S5:C25 
S lyc MM	non-toxic	non-toxic	0	0	0	0	0	0	0	0	0	0	0.569444444	0	0	0	0	0	0	0.539325843	0.994382022	0.53411306	0.752277854	0.247191011	3.544042721	4.410888473	5.110380117	16.28508772	5.110380117	15.47742132	3.587201853	0	7.117665418	1.031432749	13.0920642	3.257131804	44.35599415	1.264400859	1.451547408	0	0	0	0	0	0	0	0	0	0	0.41011236	0	0	0	0.548459163	7.400894277	0	0	0	0	0.807651072	0.559210526	0.894005848	0.449509804	22.6510383	0	26.15789474	141.4399295	38.46052632	25.35526316	75.29824561	6.828947368	0	16.62952559	16.26642683	57.53362573	16.93709344	0.387640449	51.88154555
S lyc LA4024	non-toxic	non-toxic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.660239765	0.600423225	0	0	0	0	0	0	0	0	0	2.429888198	0	0	0.446886447	0	0	0	0	0	0	0	0	0	0	0.381868132	0	0	0	0.357048748	9.850871441	0	0	0	0	1.004578755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S pim LA1578	non-toxic	non-toxic	0	0	0	0	0	0	0	0	0	0	3.953505201	0	0	0	0	0	0	0	0	0	0	0	2.302958691	2.822378106	42.74419844	68.02772661	40.7543412	59.50049558	14.65390844	0	37.06526236	15.40388177	69.70319281	2.923665	321.9142054	0	0.897125963	0	0	0	0	0	0	5.521144279	0	0	0	0.598611111	1.985074627	1.985074627	0	0	11.19062917	0	0	0	0	16.87962882	7.940909091	0.331060606	19.05472637	49.41540923	0	104.0627591	418.8185444	139.341589	83.78458948	371.950004	25.91923701	0	66.73035957	104.3081311	315.9905318	78.36879057	0	296.2152415
S per LA1278	non-toxic	toxic	0	0	2.584848485	0	3.474242424	2.563636364	5.646212121	1.342424242	0	0	0	0	0	0	0	0	0	0	0	0	0.243010753	0.693518519	4.034545697	2.697272022	6.042419842	21.73964015	6.042419842	15.74375406	3.800610247	0	22.18358342	12.75767394	27.58349121	2.691333317	112.8176459	0.380555556	0.639418377	0	0	0	0	0	6.008333333	0	0	0	1.056818182	0	0	0	0	0	7.456734758	0	0	9.407575758	0	2.259848485	0	0	0.197695035	165.7757025	0	23.51520327	200.3127019	45.18847514	20.66049748	95.96543353	18.14727408	3.635606061	2.839393939	40.71499844	71.46830333	20.80670369	0.640151515	122.2447783
S per LA1954	toxic	non-toxic	0	0	0	0	0	0	0	0	0	0	1.778205128	0	0	0	0	0	0	0	0	0	0	0	2.252097944	2.338399573	22.24957695	64.77659441	22.24957695	53.16978785	10.93711423	0	37.37014371	28.8567277	59.4060522	1.48932011	241.4618455	0	3.161043898	0	2.35440613	0	0	0	0	0	8.298587428	1.262820513	0.75	1.377394636	1.356321839	1.356321839	9.775388405	2.254578755	75.50869227	0	0	4.408372279	0	0.57967033	3.61875921	0.822796935	1.84415393	87.6106321	6.282303903	72.87097342	471.271785	139.581983	65.58519948	213.9774674	16.6037851	0	6.767399267	53.9788415	209.6220486	45.70714286	0	225.7569062
S che LA1401	non-toxic	toxic	0	0	0	0	0	0	0	0	0	0	1.223636212	0	0	0	0	0	0	0	0	0	0	0	1.110110767	1.110780111	16.90182984	46.7101151	16.90182984	32.17811685	14.23479027	0	10.33480456	12.19200219	33.17859811	1.509737302	124.7818281	0	1.356713116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.197105202	0	0	0	0	4.420348059	1.445782103	1.088353414	0	43.73415384	0	53.79174702	323.7987485	97.59144418	52.1019019	209.7792943	11.93410078	0	3.924679487	48.250251	177.15633	47.35220742	0	120.6438095
S hua LA1364	non-toxic	non-toxic	0	0	0	0	2.233686565	0.283743475	0	0	0	0	1.611856823	0	0	0	0	0	0	0	0	0	0	0	1.548194853	1.166129975	14.8890465	33.47379392	14.4913756	20.58367808	6.505193675	0	14.84761046	10.04438005	20.81543701	3.325149315	93.36702229	0.80878912	0.839090241	0	0	0	0	0	0	0	0	4.262019703	0	0	0.413157895	0.413157895	0	0.476315789	7.002616962	0	0	2.033929903	0	1.263222654	0.524235645	0.082401193	0	102.2521598	0	44.9183632	280.6351556	81.9949255	38.92320938	156.0011522	13.56127611	0.951754386	0.228933632	39.34743358	113.4153155	41.288803	0	72.49348501
S neo LA0735	non-toxic	non-toxic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.190244081	2.724700734	3.195488722	9.119047619	3.195488722	14.4047619	1.026315789	0.922619048	12.7070802	40.43734336	22.9664787	1.677448986	81.69273183	3.195861464	0.976133185	0	0	0	0.912280702	0	0	0	0	0	0	0	0	0	0.56091954	1.6	19.4625592	0	0	0	0	0	0	0	0	10.81704261	0	38.06516291	191.6671356	79.2443609	38.06516291	250.8641004	27.12406015	0	0	166.8709831	28.69548872	0	0.963659148	106.3659148
S neo LA2133	non-toxic	non-toxic	0	0	0	0	0	0	0	0	0	0	2.045738148	0	0	0	0	0.758003766	0	0	0	1.987758945	0	0	1.882194617	1.218382052	10.86177405	26.73896287	9.964672597	20.98915909	5.095500696	0	12.12052701	9.04469798	17.03928571	3.705675321	92.08853651	0.516666667	0.139765611	0	0	0	0.552730697	0	0	0	0.821428571	0.509416196	0	0.798240166	3.233676352	3.233676352	7.214285714	5.580784235	47.63535139	0	0	1.661078359	0	1.033088235	2.037099812	0	0	41.99375023	0.821428571	26.64715087	182.7695783	57.97922588	25.51723369	133.778062	2.069565217	0	0	31.9258729	87.23768262	13.8557971	0	75.9721073
S chm LA2695	toxic	toxic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.288235294	0	0	0	0	7.261215092	6.801030436	0	0	0	0	0	0	0	0	0	10.67568983	0	0.707119741	5.760291747	0	0.683006536	0	0	0	0	0	13.74074912	0	0.47124183	2.494771242	3.746552815	3.746552815	14.49577677	17.19607843	195.6508605	0	0.31372549	0	0	0	0	0	34.40261438	0	17.51918049	0	0	0	0	0	0	0	0	0	0	0	0	0
S chm LA1840	non-toxic	non-toxic	0	0	0	0	0	0	0	0	0	0	3.530575144	0	0	0	0	0	0	0	0	0	0	0	0.426130589	0.099181548	39.30064002	76.22209027	36.10272335	36.37830177	14.1798074	0	26.82027568	23.86357597	53.15164985	2.533380242	233.284982	0	1.633475018	0	0	0	0	0	0	0	0	0.372395833	0	0	0	0	0	0	2.779704573	0	0	2.529389881	0	0	4.01488427	2.136309524	0	95.98284587	0	97.36350291	551.4967668	149.4391947	73.98213348	329.6353924	18.48933026	0.832142857	0	57.68176467	337.3918805	106.3797185	1.25477707	232.1113711
S pen LA0716	toxic	toxic	122.9077326	12.00428229	0	0	0	1.892660525	5.812278214	9.102361819	17.05366983	66.20583717	2417.767607	2.566052227	712.4571769	2204.363115	1553.684613	1868.229633	938.3550028	4.509014384	0	9766.208131	15.04534135	1.109726233	18.57070865	1.623410356	0.360983103	0	0.360983103	3.192749586	0	0	0	0	0	3.881389494	0.796530775	0.997301775	0	0	0	30.42088032	4823.818259	993.2442997	0	1071.56139	0	605.7255289	495.8519695	92.24746978	2062.013171	2033.512235	23.20437985	134.2787247	209.6510514	10.21785581	0	96.96475785	61.53458894	15.03190195	0	1.645833333	28.66551549	3.468665322	0	0	2.884653816	0	0	2.559663809	0	1.167888707	4.751567079	0.86383447	1.332565284	0.832698929	0	1.440897628
S arc LA2172	non-toxic	toxic	0	0	0	0	0	0	0	0	0	0	1.883298354	0	0	0	0	0	0	0	0	0.454770756	0.454770756	0	0.482243016	0.358134204	4.847614262	11.96810371	3.762444771	6.577860975	2.038697549	0	3.603377726	3.962189922	8.943579004	3.337627199	30.75036658	0	0.689321128	0	1.463306789	0	0	0	0	0	3.662568306	1.620977817	0	6.308778719	3.996589561	3.568357058	14.33674863	0	69.78887867	0	0.759562842	1.578231293	0	3.051425031	0.711150652	0	0	36.29173247	3.662568306	12.89830011	107.8877781	29.32942913	12.04430907	52.16423181	5.736811629	0	0	13.54438655	36.78637801	3.243618598	0	27.46774761
S hab PI134418	toxic	toxic	0	14.82160474	0	0	0	0	0	1.442028986	0	0	1636.854056	18.50292235	0	0	0	0	20.2621869	0	0	0	0	0	2.773029347	2.659241758	0	0	0	0	0	0	0	0	0	1.387988678	0	2.326086957	3.860857809	0.822510823	274.2021871	0	0	0	0	3.342061924	1798.36411	3.148268398	61.9409344	240.5067492	434.5115833	417.9354964	993.071415	2712.513085	9241.16303	0	78.26422268	0	0	0	0	0	0	0	1418.875304	0	0	0	0	0	0	0	0.552	0	0	0	0	0
S hab LYC4	toxic	toxic	0	11.72995753	0	0	0	0	0	1.265100671	0	0	28281.89246	59.43092057	62.81280033	0	0	0	94.15789679	0	0	0	0	0	1.077410061	4.740323551	0.634408602	0	0.634408602	0	0	0	0	0	0	2.192310677	2.536670354	0.307522124	0	29.39340856	6146.98598	0	0	0	0	34.23386927	5653.548467	0	268.347856	2152.063496	3294.661746	3282.451195	1093.129506	1278.713187	21804.93394	0	635.8029194	0.886524823	0	0	0.391577061	0.391577061	0	10.28282811	6249.714493	0	7.16222451	0.765957447	0	0.531914894	0	0	0	2.387683541	0	0	0	5.533532353
