	p-value	average	sd	rsd
5.541_67.0557 	0.0	0.004200947941149729	0.001202847485269685	0.28632763417213064
11.844_91.0573 	0.034482758620689655	0.03011806936535979	0.006385940757348918	0.21203021614306025
14.572_91.0565 	0.011494252873563218	0.003717372938793144	0.0011080966578576848	0.2980859537373809
14.537_91.0571 	0.011494252873563218	0.006091344270969634	0.001459598584416577	0.2396184683523453
15.562_91.0570 	0.0	0.00020507005072598313	0.00021573264677592711	1.0519948964375665
20.136_79.0560 	0.0	0.0002697088177553245	0.0003331244473364841	1.2351262747319194
23.181_147.1173 	0.011494252873563218	0.03016267359882898	0.0076071379249638745	0.25220370137411197
24.707_93.0725 	0.0	0.08930945278260408	0.021183584487943077	0.2371930834634928
24.814_105.0723 	0.04597701149425287	0.001067613832221224	0.0006719966608409974	0.6294379489659427
25.356_105.0726 	0.011494252873563218	0.014330621329436874	0.0024714012764642215	0.17245597519122613
25.968_119.0881 	0.04597701149425287	0.00801717674703298	0.0019841977139603982	0.24749332296992405
