	p-value	average	sd	rsd
9.653_91.0565 	0.0	0.02017299743597935	0.0040198492152458435	0.19926881109280672
11.96_91.0560 	0.0	0.10537908995853154	0.018550830190768725	0.17603900544281403
12.373_91.0575 	0.0	0.12106723381941317	0.02144895934207452	0.17716568443339764
12.618_119.0885 	0.0	0.028648588050837025	0.0046276162538071	0.16153034298218738
12.761_91.0557 	0.0	0.1241062792969648	0.01642064225115501	0.13231113158958913
22.444_161.1317 	0.0	0.010695457583789602	0.0028397377290144245	0.2655087645168569
23.181_147.1173 	0.0	0.006121067390175685	0.0017297644049778956	0.28259195573539475
24.220_91.0566 	0.0	0.006809916545352091	0.001965540125250526	0.28862910612201964
25.421_161.1340 	0.0	0.01130909401570358	0.0024038720932305084	0.21256097879215968
25.968_119.0881 	0.0	0.006648618681854584	0.0020018636149262007	0.3010946650301496
26.200_105.0726 	0.0	0.007849627224874514	0.0025922887536726667	0.3302435490768299
26.803_111.0836 	0.0	0.00361782684498141	0.0011334759843505654	0.3133029945650673
