id	RT (min)	RI	m/z	insect	p-value	average	sd	rsd	comment
1	5.541	NA	67.0557	whitefly	0	0.004	0.001	0.286	p < 0.05 and rsd < 0.5
2	10.873	966	119.0877	whitefly	0.046511628	0.006253158	0.003073414	0.491497874	p < 0.05 and rsd < 0.5
3	11.844	996	91.0573	whitefly	0.034	0.030	0.006	0.212	p < 0.05 and rsd < 0.5
4	14.572	1083	91.0565	whitefly	0.011	0.004	0.001	0.298	p < 0.05 and rsd < 0.5
5	14.537	1082	91.0571	whitefly	0.011	0.006	0.001	0.240	p < 0.05 and rsd < 0.5
6	23.181	1387	147.1173	whitefly	0.011	0.030	0.008	0.252	p < 0.05 and rsd < 0.5
7	24.707	1457	93.0725	whitefly	0	0.089	0.021	0.237	p < 0.05 and rsd < 0.5
8	25.356	1489	105.0726	whitefly	0.011	0.014	0.002	0.172	p < 0.05 and rsd < 0.5
9	26.164	1535	119.0865	whitefly	0.046511628	0.018	0.008	0.455	p < 0.05 and rsd < 0.5
10	9.653	929	91.0565	thrips	0	0.020172997	0.004019849	0.199268811	p < 0.01 and rsd < 0.5
11	11.96	1000	91.056	thrips	0	0.10537909	0.01855083	0.176039005	p < 0.01 and rsd < 0.6
12	12.373	1013	91.0575	thrips	0	0.121067234	0.021448959	0.177165684	p < 0.01 and rsd < 0.7
13	12.618	1021	119.0885	thrips	0	0.028648588	0.004627616	0.161530343	p < 0.01 and rsd < 0.8
14	12.761	1027	91.0557	thrips	0	0.124106279	0.016420642	0.132311132	p < 0.01 and rsd < 0.9
15	22.444	1351	161.1317	thrips	0	0.010695458	0.002839738	0.265508765	p < 0.01 and rsd < 0.10
16	23.181	1387	147.1173	thrips	0	0.006121067	0.001729764	0.282591956	p < 0.01 and rsd < 0.11
17	24.22	1433	91.0566	thrips	0	0.006809917	0.00196554	0.288629106	p < 0.01 and rsd < 0.12
18	25.421	1492	161.134	thrips	0	0.011309094	0.002403872	0.212560979	p < 0.01 and rsd < 0.13
19	25.968	1523	119.0881	thrips	0	0.006648619	0.002001864	0.301094665	p < 0.01 and rsd < 0.14
20	26.2	1537	105.0726	thrips	0	0.007849627	0.002592289	0.330243549	p < 0.01 and rsd < 0.15
21	26.803	1574	111.0836	thrips	0	0.003617827	0.001133476	0.313302995	p < 0.01 and rsd < 0.16
