	p-value	average	sd	rsd
5.541_67.0557 	0.022988505747126436	0.004200947941149729	0.001202847485269685	0.28632763417213064
14.572_91.0565 	0.034482758620689655	0.003717372938793144	0.0011080966578576848	0.2980859537373809
14.537_91.0571 	0.022988505747126436	0.006091344270969634	0.001459598584416577	0.2396184683523453
14.844_105.0368 	0.034482758620689655	0.005482360749145082	0.00213571250444893	0.3895607389174403
15.562_91.0570 	0.0	0.00020507005072598313	0.00021573264677592711	1.0519948964375665
20.136_79.0560 	0.0	0.0002697088177553245	0.0003331244473364841	1.2351262747319194
24.471_105.0723 	0.04597701149425287	0.011844978705662017	0.005388611793260622	0.45492794264668557
24.707_93.0725 	0.022988505747126436	0.08930945278260408	0.021183584487943077	0.2371930834634928
24.814_105.0723 	0.04597701149425287	0.001067613832221224	0.0006719966608409974	0.6294379489659427
25.356_105.0726 	0.011494252873563218	0.014330621329436874	0.0024714012764642215	0.17245597519122613
25.968_119.0881 	0.04597701149425287	0.00801717674703298	0.0019841977139603982	0.24749332296992405
