rt_min	rt_sec
4.12	247.2
4.77	286.2
5.35	321
5.65	339
7.33	439.8
7.62	457.2
9.74	584.4
10.21	612.6
10.94	656.4
11.12	667.2
11.91	714.6
12.03	721.8
12.21	732.6
12.43	745.8
12.82	769.2
13.46	807.6
13.78	826.8
14.71	882.6
20.69	1241.4
21.67	1300.2
21.9	1314
24.04	1442.4
24.53	1471.8
24.66	1479.6
24.78	1486.8
24.87	1492.2
25.23	1513.8
25.48	1528.8
25.57	1534.2
25.82	1549.2
26.28	1576.8
26.39	1583.4
26.90	1614
26.65	1599
27.13	1627.8
28.50	1710
28.28	1696.8
28.54	1712.4
28.83	1729.8
29.49	1769.4
31.38	1882.8
32.29	1937.4
34.39	2063.4
