rt_min	x	ki_predicted
4.12	247.2	930
4.77	286.2	922
5.35	321	915
5.65	339	913
7.33	439.8	903
7.62	457.2	902
9.74	584.4	906
10.21	612.6	909
10.94	656.4	915
11.12	667.2	917
11.91	714.6	926
12.03	721.8	928
12.21	732.6	930
12.43	745.8	933
12.82	769.2	939
13.46	807.6	950
13.78	826.8	956
14.71	882.6	976
20.69	1241.4	1173
21.67	1300.2	1216
21.9	1314	1227
24.04	1442.4	1336
24.53	1471.8	1364
24.66	1479.6	1371
24.78	1486.8	1378
24.87	1492.2	1383
25.23	1513.8	1404
25.48	1528.8	1419
25.57	1534.2	1424
25.82	1549.2	1439
26.28	1576.8	1468
26.39	1583.4	1474
26.9	1614	1507
26.65	1599	1491
27.13	1627.8	1522
28.5	1710	1615
28.28	1696.8	1599
28.54	1712.4	1617
28.83	1729.8	1638
29.49	1769.4	1686
31.38	1882.8	1831
32.29	1937.4	1905
34.39	2063.4	2087
